project_id,n_total,n_kept,n_dropped,drop_rate_pct
org.apache:archiva,856,856,0,0.0
org.apache:batik,1472,1277,195,13.25
org.apache:bcel,417,405,12,2.88
org.apache:cayenne,968,962,6,0.62
org.apache:cocoon,2878,2794,84,2.92
org.apache:codec,58,58,0,0.0
org.apache:collections,550,525,25,4.55
org.apache:commons-cli,67,67,0,0.0
org.apache:commons-fileupload,28,28,0,0.0
org.apache:commons-io,122,117,5,4.1
org.apache:commons-jelly,336,176,160,47.62
org.apache:commons-jexl,138,138,0,0.0
org.apache:configuration,226,226,0,0.0
org.apache:daemon,15,15,0,0.0
org.apache:dbcp,65,57,8,12.31
org.apache:digester,162,162,0,0.0
org.apache:felix,2099,2084,15,0.71
org.apache:hive,3079,2796,283,9.19
org.apache:httpclient,577,545,32,5.55
org.apache:httpcore,625,608,17,2.72
org.apache:net,211,195,16,7.58
org.apache:santuario,511,451,60,11.74
org.apache:thrift,92,55,37,40.22
org.apache:validator,61,61,0,0.0
org.apache:vfs,269,269,0,0.0
org.apache:zookeeper,196,196,0,0.0
