project_id,n_files,n_positive,positive_rate_pct,n_s1_only,n_s4_only,n_both_static_history,threshold_used,min_positives_satisfied
org.apache:archiva,856,113,13.2,19,69,103,0.5,1
org.apache:batik,1277,176,13.78,30,57,162,0.5,1
org.apache:bcel,405,73,18.02,11,32,72,0.5,1
org.apache:cayenne,962,145,15.07,94,76,130,0.5,1
org.apache:cocoon,2794,464,16.61,18,284,437,0.5,1
org.apache:codec,58,9,15.52,0,1,8,0.5,1
org.apache:commons-cli,67,12,17.91,0,3,12,0.5,1
org.apache:commons-fileupload,28,6,21.43,0,1,6,0.5,1
org.apache:commons-jelly,176,14,7.95,0,5,14,0.5,1
org.apache:commons-jexl,138,19,13.77,0,9,17,0.5,1
org.apache:configuration,226,32,14.16,3,15,31,0.5,1
org.apache:daemon,15,4,26.67,3,1,4,0.4,0
org.apache:dbcp,57,14,24.56,11,1,14,0.5,1
org.apache:digester,162,26,16.05,0,4,26,0.5,1
org.apache:felix,2084,365,17.51,255,115,342,0.5,1
org.apache:hive,2796,400,14.31,227,78,385,0.5,1
org.apache:httpclient,545,43,7.89,6,5,43,0.5,1
org.apache:httpcore,608,97,15.95,1,48,93,0.5,1
org.apache:net,195,25,12.82,27,11,24,0.5,1
org.apache:thrift,55,10,18.18,2,4,9,0.5,1
org.apache:vfs,269,44,16.36,12,21,40,0.5,1
org.apache:zookeeper,196,35,17.86,21,11,32,0.5,1
