project_id,n_files,n_all_zero_prior_defect,pct_all_zero
org.apache:archiva,844,194,22.99
org.apache:batik,1082,710,65.62
org.apache:bcel,396,288,72.73
org.apache:cayenne,962,585,60.81
org.apache:cocoon,2120,1442,68.02
org.apache:codec,45,1,2.22
org.apache:commons-cli,63,29,46.03
org.apache:commons-fileupload,25,1,4.0
org.apache:commons-jelly,159,107,67.3
org.apache:commons-jexl,101,30,29.7
org.apache:configuration,175,105,60.0
org.apache:daemon,10,5,50.0
org.apache:dbcp,54,2,3.7
org.apache:digester,149,98,65.77
org.apache:felix,2084,928,44.53
org.apache:hive,2796,784,28.04
org.apache:httpclient,353,150,42.49
org.apache:httpcore,361,175,48.48
org.apache:net,183,47,25.68
org.apache:thrift,55,9,16.36
org.apache:vfs,262,60,22.9
org.apache:zookeeper,170,55,32.35
