mode,family,n_features,f1,pr_auc,ce_at_20,f1_std
all_features,(all),27,0.8497799153448661,0.9399513885759904,0.9184824764817272,0.010563715026553755
only_this_family,size_complexity,5,0.26044084318589233,0.21458164318198286,0.27002546758073176,0.01741004945068401
leave_out_family,size_complexity,22,0.8422960027799412,0.9339731004155654,0.9097257804826182,0.009394573028864288
only_this_family,static_debt,5,0.5256605215003521,0.5419700225259886,0.5706089941571395,0.02671376846702128
leave_out_family,static_debt,22,0.8225615281279113,0.9133204940649172,0.8903038388707178,0.012878009510026687
only_this_family,historical,8,0.7606567990853409,0.8466493721126153,0.8283733152410558,0.020252011877199567
leave_out_family,historical,19,0.7797936544826929,0.8774827199846224,0.8428554069243466,0.016001851718078032
only_this_family,graph,4,0.5368377153573055,0.5884676161063817,0.598000313914514,0.025880027979206983
leave_out_family,graph,23,0.8549770539422472,0.941246145379074,0.9207117758447844,0.010983914196334996
only_this_family,prior_defect,5,0.5867029284787331,0.6258915701523666,0.641774427106012,0.011638181040260225
leave_out_family,prior_defect,22,0.8148126592164899,0.9083001727080131,0.8825025568843479,0.01952128845241334
