basename,risk_score,predicted_high_risk,is_high_risk
QuorumPeer.java,0.9998043687506355,1,1
QuorumCnxManager.java,0.9997629623247549,1,1
Leader.java,0.9997145328528433,1,1
DataTree.java,0.9996841562227817,1,1
ZooKeeperServer.java,0.9996729108009165,1,1
ClientCnxn.java,0.9995882785022974,1,1
PrepRequestProcessor.java,0.9995651643082553,1,1
ZooKeeper.java,0.9994808875300818,1,1
FinalRequestProcessor.java,0.9993901978122289,1,1
QuorumPeerConfig.java,0.9990520865292496,1,1
FastLeaderElection.java,0.998773927344541,1,1
NIOServerCnxn.java,0.9987595488446721,1,1
Follower.java,0.9978647737286683,1,1
SyncRequestProcessor.java,0.9975026812796891,1,1
LearnerHandler.java,0.9974498234940502,1,1
AuthFastLeaderElection.java,0.9966560669406239,1,1
ZooKeeperMain.java,0.9965333074782071,1,1
FileTxnLog.java,0.9947337162415648,1,1
SessionTrackerImpl.java,0.99428972070843,1,1
Request.java,0.9906941698496223,1,1
FileTxnSnapLog.java,0.9887292503681491,1,1
CommitProcessor.java,0.9883967449059979,1,1
Learner.java,0.9833723919987205,1,1
FollowerZooKeeperServer.java,0.9801900284842971,1,1
Login.java,0.9774598893542168,1,1
JRecord.java,0.9670883956027737,1,1
Observer.java,0.9644290357357471,1,1
NettyServerCnxn.java,0.9629467975764223,1,1
PurgeTxnLog.java,0.9600591770117575,1,1
LeaderZooKeeperServer.java,0.9562914556566743,1,1
ZKDatabase.java,0.9561645152537401,1,1
Shell.java,0.956007422434953,1,1
VerGen.java,0.9532201222415714,1,1
NIOServerCnxnFactory.java,0.9470362822305384,1,1
QuorumPeerMain.java,0.9406891007068595,1,1
DataNode.java,0.22538901326427413,0,0
KeeperException.java,0.15278898478978456,0,0
ClientCnxnSocketNIO.java,0.1428001964165884,0,0
NettyServerCnxnFactory.java,0.13083294094364617,0,0
FollowerRequestProcessor.java,0.12424575090859075,0,0
ZooKeeperSaslClient.java,0.11391993385627226,0,0
ServerCnxn.java,0.11082652187913344,0,0
ProposalRequestProcessor.java,0.09929876013298079,0,0
ServerAdminClient.java,0.09045188113597746,0,0
Vote.java,0.09020259130796485,0,0
QuorumHierarchical.java,0.07742083974731434,0,0
ZooKeeperServerMain.java,0.05598076517413068,0,0
Util.java,0.05320672324959982,0,0
DigestAuthenticationProvider.java,0.04453614616698996,0,0
Utils.java,0.03682513147479481,0,0
ServerCnxnFactory.java,0.020733080345892232,0,0
ServerConfig.java,0.013132843539774577,0,0
ProviderRegistry.java,0.012187293451172239,0,0
ServerStats.java,0.010670282569333854,0,0
Op.java,0.010437933623103959,0,0
SnapshotFormatter.java,0.0096228900661201,0,0
XmlOutputArchive.java,0.00917460916310662,0,0
ZooTrace.java,0.007118841247418545,0,0
AsyncCallback.java,0.006860106320621992,0,0
ReadOnlyRequestProcessor.java,0.006807649126264403,0,0
ZooDefs.java,0.006328164942641663,0,0
Version.java,0.0062429720875955864,0,0
MultiResponse.java,0.004983973083544376,0,0
KerberosName.java,0.00493525886828631,0,0
StaticHostProvider.java,0.004378760497740274,0,0
Watcher.java,0.004109419664640607,0,0
PathTrie.java,0.0038805843708047856,0,0
WatchManager.java,0.003473804625614455,0,0
XmlInputArchive.java,0.0031982660497974044,0,0
ZooKeeperServerBean.java,0.003084972536431923,0,0
FileSnap.java,0.0026697848189626877,0,0
ConnectionBean.java,0.002637408845094798,0,0
MBeanRegistry.java,0.0024201974674474586,0,0
MultiTransactionRecord.java,0.002408484251081898,0,0
ReconfigCommand.java,0.0019980960153291034,0,0
CsvOutputArchive.java,0.0017155086491534093,0,0
SerializeUtils.java,0.0016811353658330783,0,0
LearnerZooKeeperServer.java,0.0016462588948329261,0,0
CreateCommand.java,0.0015562620834993388,0,0
BinaryOutputArchive.java,0.0013211889569925623,0,0
JType.java,0.0012979640393791054,0,0
CGenerator.java,0.0012835280001944123,0,0
JVector.java,0.001242537920347924,0,0
BinaryInputArchive.java,0.0011736952675226932,0,0
RecordWriter.java,0.0011189161938991508,0,0
RecordReader.java,0.0010603470486290787,0,0
JMap.java,0.0010572823784045717,0,0
ObserverRequestProcessor.java,0.001026125429530231,0,0
Environment.java,0.001011367376808727,0,0
CsvInputArchive.java,0.00090661778488811,0,0
DelQuotaCommand.java,0.0008397243652803908,0,0
QuorumStats.java,0.0008321020375039185,0,0
ObserverZooKeeperServer.java,0.0007336415978177148,0,0
PathUtils.java,0.0007335409399808318,0,0
QuorumZooKeeperServer.java,0.0006727090636300709,0,0
IPAuthenticationProvider.java,0.0006463337064698737,0,0
LogFormatter.java,0.0006445715931395724,0,0
LearnerSessionTracker.java,0.0006244461366913938,0,0
ByteBufferOutputStream.java,0.0005964747812504101,0,0
CppGenerator.java,0.000589619884997029,0,0
WorkerService.java,0.0005642987803294781,0,0
OpResult.java,0.0005623708330333042,0,0
TraceFormatter.java,0.000557714456435027,0,0
SetQuotaCommand.java,0.0005486933054771878,0,0
SaslServerCallbackHandler.java,0.0005173599996542603,0,0
FourLetterWordMain.java,0.0005005394939971022,0,0
CreateMode.java,0.0004927492803512272,0,0
ClientCnxnSocket.java,0.0004804860638044061,0,0
ZooKeeperSaslServer.java,0.0004436837244939683,0,0
SetAclCommand.java,0.00044238220139558663,0,0
LeaderSessionTracker.java,0.00041852039882197514,0,0
ReadOnlyZooKeeperServer.java,0.0004088257795477784,0,0
JCompType.java,0.0004017933721467417,0,0
JLineZNodeCompleter.java,0.00034533883174973294,0,0
TxnLogProposalIterator.java,0.0003387010805928126,0,0
JFile.java,0.0003209962835312644,0,0
OutputArchive.java,0.00032014636034882044,0,0
Transaction.java,0.0003192898286503516,0,0
LsCommand.java,0.000311793086506761,0,0
ConnectStringParser.java,0.0003080700539165615,0,0
JavaGenerator.java,0.0003045940809269769,0,0
CliCommand.java,0.0003042979185355425,0,0
ConfigUtils.java,0.0003028982567368528,0,0
AuthenticationProvider.java,0.0003008466282449556,0,0
ZooKeeperTestable.java,0.0002949050818255296,0,0
Ls2Command.java,0.0002945835497251426,0,0
DeleteCommand.java,0.0002932228397129635,0,0
JDouble.java,0.0002927215481371799,0,0
JFloat.java,0.0002927215481371799,0,0
UnimplementedRequestProcessor.java,0.00029211705635757935,0,0
ZooKeeperThread.java,0.00029116930414062244,0,0
SASLAuthenticationProvider.java,0.00028452695403665985,0,0
JBuffer.java,0.00028218656138063645,0,0
ManagedUtil.java,0.0002772553905317437,0,0
CommonNames.java,0.0002751886917692707,0,0
QuorumMaj.java,0.0002737168376319726,0,0
ZooKeeperCriticalThread.java,0.0002646236545078692,0,0
AclParser.java,0.0002591526791059491,0,0
KerberosUtil.java,0.00025078596061520815,0,0
AtomicFileOutputStream.java,0.00024724143813563957,0,0
Quotas.java,0.00024704210711600237,0,0
SetCommand.java,0.000246274206678292,0,0
ZxidUtils.java,0.000245734171916082,0,0
HostProvider.java,0.0002439359098282053,0,0
WatchedEvent.java,0.0002384053321956875,0,0
GetCommand.java,0.00023603119615703483,0,0
OSMXBean.java,0.0002344309667818677,0,0
ZKUtil.java,0.0002340317223823212,0,0
SessionTracker.java,0.00023328054928188632,0,0
JField.java,0.0002316257199901932,0,0
GetAclCommand.java,0.00023084342350268287,0,0
JString.java,0.00022877795077577421,0,0
WatchDeregistration.java,0.00022820922055018223,0,0
StatsTrack.java,0.0002242916626686885,0,0
CSharpGenerator.java,0.00022181796566230443,0,0
GetConfigCommand.java,0.00021935917651135384,0,0
StateSummary.java,0.00021691064444056177,0,0
AddAuthCommand.java,0.00021632815490930287,0,0
RemoveWatchesCommand.java,0.00021431234540585212,0,0
DeleteAllCommand.java,0.00021358384031948461,0,0
IOUtils.java,0.0002122284426639076,0,0
ListQuotaCommand.java,0.0002039773265928421,0,0
SyncCommand.java,0.0002039773265928421,0,0
StatCommand.java,0.0002039773265928421,0,0
ByteBufferInputStream.java,0.00020278019349200536,0,0
RateLogger.java,0.00020244361330492246,0,0
LearnerSyncRequest.java,0.00019319978803906157,0,0
VerifyingFileFactory.java,0.0001929321540419399,0,0
ExpiryQueue.java,0.000190931961586897,0,0
UpgradeableSessionTracker.java,0.00015785525720364785,0,0
