held_out_project,n_pos_test,f1,pr_auc,ce_at_20,basename_collision_pct,max_files_per_basename
org.apache:net,50,0.5538461538461539,0.5906333645725255,0.56,64.2,5
org.apache:digester,67,0.4492753623188406,0.484211002219048,0.4328358208955223,61.0,18
org.apache:cocoon,221,0.4201680672268907,0.4175063639155283,0.5882352941176471,59.5,18
org.apache:dbcp,23,0.4358974358974359,0.46970742770676,0.4782608695652174,54.2,4
org.apache:vfs,79,0.5411764705882353,0.5524423295502056,0.5316455696202531,53.5,5
org.apache:archiva,309,0.6251944012441679,0.6660857252322696,0.6310679611650486,51.6,7
org.apache:configuration,81,0.5,0.5742184322807807,0.5802469135802469,51.3,4
org.apache:commons-jexl,32,0.4367816091954023,0.4787043647224301,0.375,43.7,8
org.apache:httpclient,140,0.4264264264264264,0.3956857805495666,0.3785714285714285,42.9,6
org.apache:bcel,93,0.0,0.3128792468329682,0.3655913978494624,41.8,5
org.apache:httpcore,111,0.3625377643504531,0.3830090380357872,0.4414414414414414,37.7,8
org.apache:commons-jelly,61,0.4037558685446009,0.4508497930258382,0.4918032786885246,36.6,7
org.apache:codec,24,0.6333333333333333,0.7394189817681673,0.625,31.8,3
org.apache:felix,378,0.3610785463071512,0.3330562821497183,0.5185185185185185,31.7,76
org.apache:thrift,11,0.2745098039215686,0.2266022394328054,0.5454545454545454,30.8,3
org.apache:commons-fileupload,9,0.32,0.4902367173468606,0.3333333333333333,28.2,2
org.apache:commons-cli,32,0.576271186440678,0.5689054871263715,0.59375,26.4,3
org.apache:hive,1040,0.3342105263157894,0.4625826584844698,0.4298076923076923,26.0,10
org.apache:daemon,3,0.0,0.3313492063492063,0.3333333333333333,21.1,2
org.apache:batik,341,0.3826086956521739,0.3986395507725763,0.3636363636363636,14.3,21
org.apache:cayenne,330,0.3193277310924369,0.2856355822267638,0.4939393939393939,9.6,5
org.apache:zookeeper,98,0.4745762711864407,0.4883912197515896,0.5714285714285714,0.0,1
