project_id,snapshot_id,snapshot_date,n_pre_commits,n_post_commits,n_java_files
org.apache:archiva,t25,2008-07-02,2175,253,2669
org.apache:archiva,t50,2012-01-05,4348,1095,3543
org.apache:archiva,t75,2013-01-11,6521,379,4017
org.apache:batik,t25,2001-04-11,882,553,1913
org.apache:batik,t50,2001-12-14,1763,374,2870
org.apache:batik,t75,2005-06-24,2643,68,3943
org.apache:bcel,t50,2015-08-16,877,217,584
org.apache:cayenne,t25,2009-05-01,1684,177,3136
org.apache:cayenne,t50,2012-12-04,3367,135,4258
org.apache:cayenne,t75,2016-12-16,5050,388,5797
org.apache:cocoon,t25,2003-12-29,3291,1859,4405
org.apache:cocoon,t50,2005-03-19,6581,580,6760
org.apache:cocoon,t75,2006-12-11,9871,1316,8534
org.apache:codec,t50,2012-08-27,1073,133,286
org.apache:collections,t25,2003-11-20,905,364,787
org.apache:collections,t75,2015-01-02,2712,90,1575
org.apache:commons-cli,t50,2008-11-10,511,66,229
org.apache:commons-fileupload,t50,2013-03-11,591,167,98
org.apache:commons-io,t75,2020-08-15,2531,421,574
org.apache:commons-jelly,t50,2003-02-07,973,85,622
org.apache:commons-jelly,t75,2004-09-12,1459,152,719
org.apache:commons-jexl,t50,2009-12-11,964,116,470
org.apache:commons-jexl,t75,2017-03-13,1445,56,554
org.apache:configuration,t25,2009-01-10,854,54,358
org.apache:configuration,t50,2013-06-01,1707,184,648
org.apache:configuration,t75,2015-05-16,2560,72,1475
org.apache:daemon,t50,2010-10-02,626,101,228
org.apache:dbcp,t50,2014-02-07,1233,165,186
org.apache:dbcp,t75,2018-06-18,1849,97,320
org.apache:digester,t25,2006-11-09,549,52,238
org.apache:digester,t50,2011-02-19,1097,777,434
org.apache:digester,t75,2011-06-01,1644,297,968
org.apache:felix,t25,2009-08-25,3890,1446,3489
org.apache:felix,t50,2011-06-29,7779,606,4564
org.apache:felix,t75,2015-03-05,11667,650,6541
org.apache:hive,t25,2014-04-28,3934,1150,9935
org.apache:hive,t50,2015-12-20,7867,865,13771
org.apache:hive,t75,2018-04-04,11800,1067,18114
org.apache:httpclient,t25,2009-05-31,823,116,432
org.apache:httpclient,t50,2012-06-07,1645,127,814
org.apache:httpclient,t75,2015-04-29,2468,73,1066
org.apache:httpcore,t25,2007-09-11,902,180,529
org.apache:httpcore,t50,2012-01-17,1803,70,826
org.apache:httpcore,t75,2017-04-15,2703,122,1344
org.apache:net,t25,2008-04-06,625,67,249
org.apache:net,t50,2011-03-25,1249,162,538
org.apache:santuario,t25,2004-07-03,731,114,1013
org.apache:thrift,t25,2009-04-02,1597,143,772
org.apache:thrift,t50,2013-06-25,3193,178,1525
org.apache:thrift,t75,2016-03-19,4790,121,2233
org.apache:validator,t75,2015-11-05,1161,97,309
org.apache:vfs,t50,2012-11-15,1537,76,485
org.apache:vfs,t75,2019-08-16,2306,136,631
org.apache:zookeeper,t25,2010-03-04,591,86,709
org.apache:zookeeper,t50,2014-04-04,1181,91,1293
org.apache:zookeeper,t75,2019-01-07,1771,158,1601
