model,fold,n_train,n_test,n_pos_test,threshold_opt,f1_optimized,f1_default,roc_auc,pr_auc,ce_at_20
logistic_regression,1,11204,1245,212,0.7300000000000002,0.7383177570093458,0.734375,0.9592275658002887,0.8232351874731881,0.7971698113207547
logistic_regression,2,11204,1245,212,0.7300000000000002,0.7893569844789357,0.7433962264150943,0.9693282069078887,0.874747084434624,0.8537735849056604
logistic_regression,3,11204,1245,212,0.7300000000000002,0.7852494577006508,0.7337057728119181,0.9661409340809878,0.8525575700526347,0.8537735849056604
logistic_regression,4,11204,1245,213,0.7300000000000002,0.8177570093457944,0.7430830039525692,0.9670360665283692,0.8950055783394832,0.8591549295774648
logistic_regression,5,11204,1245,213,0.7200000000000002,0.7454545454545455,0.698292220113852,0.9596207737380354,0.8518369633855756,0.8075117370892019
logistic_regression,6,11204,1245,213,0.7100000000000002,0.7782608695652173,0.7332053742802304,0.9640199075590494,0.8618531984199655,0.8450704225352113
logistic_regression,7,11204,1245,213,0.7200000000000002,0.7589285714285714,0.722753346080306,0.9611584234086692,0.8189040944256368,0.8169014084507042
logistic_regression,8,11204,1245,213,0.7200000000000002,0.7579908675799086,0.7641325536062378,0.9664856061433199,0.8649920941795496,0.8262910798122066
logistic_regression,9,11204,1245,213,0.7200000000000002,0.746606334841629,0.7265625,0.9580740255486406,0.8331967292649403,0.8028169014084507
logistic_regression,10,11205,1244,212,0.7700000000000002,0.7281553398058253,0.7061143984220908,0.9477155550680122,0.8091576364209858,0.7971698113207547
random_forest,1,11204,1245,212,0.42000000000000004,0.8232445520581114,0.8161209068010076,0.9849540630879101,0.9306034324481589,0.9198113207547169
random_forest,2,11204,1245,212,0.4000000000000001,0.8878718535469108,0.8780487804878049,0.9905454894153318,0.9554310790543499,0.9433962264150944
random_forest,3,11204,1245,212,0.4100000000000001,0.8703703703703703,0.8697788697788698,0.987700688597052,0.9423292307399634,0.9339622641509434
random_forest,4,11204,1245,213,0.4000000000000001,0.8759124087591241,0.8666666666666667,0.985744895730975,0.9476150926785897,0.9248826291079812
