variant,group,mode,n_features,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,elapsed_s
consequence,all,all_features,81,0.5086,0.7489,0.6056,0.9087,0.6857,0.5361,0.724,8.16
consequence,static_sonar,only_this_group,16,0.3288,0.6606,0.4389,0.7921,0.45,0.3315,0.5268,4.21
consequence,static_sonar,leave_out_this_group,65,0.4996,0.7501,0.5994,0.9042,0.6718,0.5292,0.7198,7.17
consequence,historical,only_this_group,15,0.4432,0.7444,0.5554,0.8812,0.6104,0.4781,0.6703,4.83
consequence,historical,leave_out_this_group,66,0.4961,0.7543,0.5982,0.8994,0.6697,0.5283,0.7183,6.79
consequence,project_context,only_this_group,30,0.1945,0.6654,0.3009,0.5902,0.1738,0.1331,0.2287,4.2
consequence,project_context,leave_out_this_group,51,0.5079,0.7543,0.6068,0.9074,0.6749,0.5379,0.7201,6.5
consequence,cocg,only_this_group,10,0.4145,0.7155,0.5246,0.8585,0.5805,0.4397,0.6286,4.64
consequence,cocg,leave_out_this_group,71,0.4934,0.7436,0.593,0.8993,0.6584,0.5212,0.7118,7.16
consequence,prior_defect,only_this_group,10,0.3959,0.5902,0.4736,0.7762,0.4768,0.3716,0.5624,3.81
consequence,prior_defect,leave_out_this_group,71,0.5062,0.7543,0.6056,0.9067,0.6764,0.5366,0.7218,7.35
severity,all,all_features,75,0.6198,0.8486,0.7162,0.9756,0.8196,0.6914,0.9627,7.4
severity,static_sonar,only_this_group,10,0.5105,0.8794,0.6458,0.9686,0.781,0.626,0.941,4.17
severity,static_sonar,leave_out_this_group,65,0.3882,0.6872,0.496,0.8957,0.5473,0.4484,0.7358,6.98
severity,historical,only_this_group,15,0.3452,0.6932,0.4608,0.8764,0.5029,0.413,0.7006,4.77
severity,historical,leave_out_this_group,60,0.6051,0.849,0.7062,0.9747,0.8178,0.6814,0.9592,6.42
severity,project_context,only_this_group,30,0.1366,0.7084,0.229,0.6344,0.1405,0.1361,0.3132,4.24
severity,project_context,leave_out_this_group,45,0.6167,0.8377,0.7102,0.9743,0.8143,0.6842,0.9549,6.08
severity,cocg,only_this_group,10,0.2848,0.652,0.3962,0.8272,0.4348,0.3394,0.6143,4.67
severity,cocg,leave_out_this_group,65,0.6078,0.849,0.7082,0.9748,0.8147,0.6834,0.9631,6.7
severity,prior_defect,only_this_group,10,0.2535,0.5202,0.3408,0.7304,0.3383,0.2643,0.525,3.86
severity,prior_defect,leave_out_this_group,65,0.6211,0.8425,0.7149,0.9751,0.8188,0.6894,0.9623,6.9
szz,all,all_features,79,0.3523,0.3059,0.3238,0.9355,0.264,0.3185,0.916,8.01
szz,static_sonar,only_this_group,16,0.0269,0.2249,0.0481,0.6339,0.0519,0.0447,0.4946,4.42
szz,static_sonar,leave_out_this_group,63,0.279,0.2655,0.269,0.9343,0.2408,0.2616,0.9124,7.22
szz,historical,only_this_group,15,0.2225,0.2324,0.2264,0.8754,0.1616,0.217,0.7878,5.05
szz,historical,leave_out_this_group,64,0.2722,0.2757,0.2724,0.9332,0.2482,0.264,0.9123,7.08
szz,project_context,only_this_group,30,0.0367,0.8991,0.0705,0.8591,0.0583,0.1449,0.7071,3.58
szz,project_context,leave_out_this_group,49,0.3319,0.2653,0.2925,0.9214,0.2342,0.2877,0.8822,6.86
szz,cocg,only_this_group,10,0.2066,0.3399,0.2562,0.8873,0.1856,0.2528,0.8114,4.83
szz,cocg,leave_out_this_group,69,0.292,0.2786,0.283,0.9296,0.2337,0.2756,0.8959,7.24
szz,prior_defect,only_this_group,8,0.0395,0.3666,0.0708,0.622,0.0748,0.0871,0.4545,3.96
szz,prior_defect,leave_out_this_group,71,0.3285,0.2791,0.2998,0.9315,0.2594,0.2938,0.899,7.79
