model,rank,feature,importance_mean,importance_std
logistic_regression,1,functions,0.3519307187217473,0.004883496855257416
logistic_regression,2,complexity,0.28081537331330125,0.003325785739889374
logistic_regression,3,classes,0.2598837069911749,0.004180264059443196
logistic_regression,4,code_churn_pre,0.25513003681247076,0.003414110526593374
logistic_regression,5,ncloc,0.23344045368198157,0.0033776045448472122
logistic_regression,6,bugfix_commits_pre,0.09024396478042676,0.00657258322774505
logistic_regression,7,file_age_days,0.05134503419728735,0.0014989588963565796
logistic_regression,8,contributor_count,0.04252520713495049,0.0027717743736131555
logistic_regression,9,total_debt_minutes,0.039007979087541986,0.004388665599041725
logistic_regression,10,n_code_smells,0.026754243795707587,0.0064807148750981826
random_forest,1,code_churn_pre,0.20102455681216594,0.004514930679040633
random_forest,2,bugfix_commits_pre,0.04797788808891838,0.002832612087839366
random_forest,3,total_debt_minutes,0.027490203870792616,0.0025620664493409442
random_forest,4,bug_density_pre,0.02379969573385603,0.0014290918700025676
random_forest,5,total_commits_pre,0.02287409874406172,0.00170812450907852
random_forest,6,n_code_smells,0.019834951531873334,0.0016460434913554997
random_forest,7,issue_density,0.018187181917324,0.0012444464952334091
random_forest,8,contributor_count,0.014007009430997175,0.0009287271836094731
random_forest,9,file_age_days,0.009347575583002499,0.0006517629149608297
random_forest,10,cocg_betweenness,0.009112011576715684,0.0008725452473657674
xgboost,1,code_churn_pre,0.23114843689689,0.005835831111378796
xgboost,2,bugfix_commits_pre,0.045577960673087906,0.0027443959640583247
xgboost,3,contributor_count,0.03702966732942119,0.0018557151972664347
xgboost,4,file_age_days,0.029987621589224613,0.0007307991790789513
xgboost,5,duplicated_lines_density,0.02970124834300316,0.0020778398236049917
xgboost,6,total_debt_minutes,0.023447941660317294,0.0020708348683124798
xgboost,7,bug_density_pre,0.016336881643271583,0.001345172398459838
xgboost,8,ncloc,0.012482012245757313,0.0005276830258994513
xgboost,9,n_code_smells,0.01024733758136398,0.0012154011249156055
xgboost,10,total_commits_pre,0.010027448403525674,0.0010095356202737328
lightgbm,1,code_churn_pre,0.22217285295299796,0.005875793808044579
lightgbm,2,bugfix_commits_pre,0.04197607501173053,0.002000227485477483
lightgbm,3,bug_density_pre,0.04168923197245149,0.0025910308693270893
lightgbm,4,contributor_count,0.03606980293802127,0.0019699244468432305
lightgbm,5,duplicated_lines_density,0.028026370337169527,0.0017043221008362429
lightgbm,6,file_age_days,0.024231809770782632,0.0006797662390086089
lightgbm,7,total_debt_minutes,0.022321424451503803,0.0019745118351871117
lightgbm,8,n_code_smells,0.012117338751481289,0.001380696168513082
lightgbm,9,ncloc,0.011057629628769994,0.00047927941269660865
lightgbm,10,total_commits_pre,0.01032260154712943,0.001113486914630352
