project_id,n_basenames,static_cols,hist_cols,graph_cols,prior_cols,mean_n_code_smells,mean_total_commits_pre,mean_cocg_degree,mean_bugfix_pre,elapsed_s
org.apache:archiva,844,13,10,6,7,1.97,11.45,273.96,0.81,2.76
org.apache:batik,1082,13,10,6,7,8.2,7.54,258.8,0.63,3.06
org.apache:bcel,396,13,10,6,7,7.97,16.6,388.63,0.48,1.44
org.apache:cayenne,962,13,10,6,7,5.8,9.98,867.36,0.8,5.5
org.apache:cocoon,2120,13,10,6,7,2.26,14.7,1038.6,0.58,18.68
org.apache:codec,45,13,10,6,7,8.91,27.76,39.73,4.73,0.37
org.apache:commons-cli,63,13,10,6,7,22.84,12.63,49.3,1.63,0.31
org.apache:commons-fileupload,25,13,10,6,7,4.8,19.32,20.32,4.56,0.27
org.apache:commons-jelly,159,13,10,6,7,1.05,7.31,64.49,0.73,0.4
org.apache:commons-jexl,101,13,10,6,7,2.48,14.87,90.34,1.77,0.34
org.apache:configuration,175,13,10,6,7,3.85,11.95,63.05,1.28,0.47
org.apache:daemon,10,13,10,6,7,16.4,8.6,7.2,0.7,0.25
org.apache:dbcp,54,13,10,6,7,13.76,27.54,44.37,5.94,0.31
org.apache:digester,149,13,10,6,7,4.46,12.58,71.01,0.93,0.38
org.apache:felix,2084,13,10,6,7,9.5,15.37,208.98,1.36,5.4
org.apache:hive,2796,13,10,6,7,10.16,10.25,277.99,0.61,11.0
org.apache:httpclient,353,13,10,6,7,4.2,12.93,164.62,0.66,0.85
org.apache:httpcore,361,13,10,6,7,2.89,15.66,165.52,0.66,0.9
org.apache:net,183,13,10,6,7,9.23,19.63,138.52,1.7,0.54
org.apache:thrift,55,13,10,6,7,7.38,6.05,12.29,2.95,0.25
org.apache:vfs,262,13,10,6,7,3.46,21.18,222.82,2.47,0.72
org.apache:zookeeper,170,13,10,6,7,12.74,14.12,58.67,1.06,0.42
