project_id,n_files,n_positive,positive_rate_pct,threshold_used
org.apache:archiva,856,113,13.2,0.5
org.apache:batik,1277,176,13.78,0.5
org.apache:bcel,405,73,18.02,0.5
org.apache:cayenne,962,145,15.07,0.5
org.apache:cocoon,2794,464,16.61,0.5
org.apache:codec,58,9,15.52,0.5
org.apache:commons-cli,67,12,17.91,0.5
org.apache:commons-fileupload,28,6,21.43,0.5
org.apache:commons-jelly,176,14,7.95,0.5
org.apache:commons-jexl,138,19,13.77,0.5
org.apache:configuration,226,32,14.16,0.5
org.apache:daemon,15,4,26.67,0.4
org.apache:dbcp,57,14,24.56,0.5
org.apache:digester,162,26,16.05,0.5
org.apache:felix,2084,365,17.51,0.5
org.apache:hive,2796,400,14.31,0.5
org.apache:httpclient,545,43,7.89,0.5
org.apache:httpcore,608,97,15.95,0.5
org.apache:net,195,25,12.82,0.5
org.apache:thrift,55,10,18.18,0.5
org.apache:vfs,269,44,16.36,0.5
org.apache:zookeeper,196,35,17.86,0.5
