variant,model,metric,mean,ci_low,ci_high,n
consequence,decision_tree,precision,0.2657765290588339,0.20459334550522956,0.32439300036478336,22
consequence,decision_tree,recall,0.28508184904399336,0.22016719184031258,0.3501820955277868,22
consequence,decision_tree,f1,0.26640068286807395,0.20801415706535958,0.3211100954480785,22
consequence,decision_tree,roc_auc,0.5736124800639688,0.5490371298679855,0.5975952088260507,22
consequence,decision_tree,pr_auc,0.2152027329190301,0.18699768100060052,0.2428362724820259,22
consequence,decision_tree,mcc,0.13489807295253303,0.07906855886794706,0.18722618810415403,22
consequence,decision_tree,ce_at_20,0.28650305760574124,0.2364126638144855,0.33343255568456664,22
consequence,lightgbm,precision,0.3660293489665188,0.29332173350061846,0.4355197183535033,22
consequence,lightgbm,recall,0.4907742303976063,0.403876641870342,0.5717133308149742,22
consequence,lightgbm,f1,0.4014079842676445,0.3296517071381289,0.46290775819811897,22
consequence,lightgbm,roc_auc,0.7645708140182296,0.7326010310046083,0.7951007409825629,22
consequence,lightgbm,pr_auc,0.4591250360932835,0.4076913108088172,0.5108576126497195,22
consequence,lightgbm,mcc,0.29603215004191996,0.23380245472028363,0.3543622589307035,22
consequence,lightgbm,ce_at_20,0.4846773512475701,0.44517320593230214,0.523881411516306,22
consequence,logistic_regression,precision,0.29839476490567624,0.23864822275337036,0.35614607717408714,22
consequence,logistic_regression,recall,0.6645083138290707,0.5438334263463402,0.7797592869029589,22
consequence,logistic_regression,f1,0.36302517272125406,0.300773020071849,0.4194537322846756,22
consequence,logistic_regression,roc_auc,0.7594926703654997,0.7280781968593,0.7903302324590771,22
consequence,logistic_regression,pr_auc,0.45510251001868574,0.40487938378980454,0.5068372893722197,22
consequence,logistic_regression,mcc,0.22448487165957795,0.16551438686921532,0.2835307029733384,22
consequence,logistic_regression,ce_at_20,0.476103004840564,0.43999743779331046,0.5131365666181388,22
consequence,random_forest,precision,0.5576902897230593,0.41557171720618336,0.685941746891521,22
consequence,random_forest,recall,0.12039981126771176,0.07967031250873824,0.1633383390061633,22
consequence,random_forest,f1,0.19048792610566692,0.13142614587095253,0.25087568473943045,22
consequence,random_forest,roc_auc,0.7879836209400007,0.7602746951445714,0.8143245885776418,22
consequence,random_forest,pr_auc,0.4862666305657892,0.4357400063126585,0.5412817667266994,22
consequence,random_forest,mcc,0.2136581842343186,0.1530082456869292,0.27394316189513584,22
consequence,random_forest,ce_at_20,0.5021438801025131,0.46091169680070576,0.5441849969889182,22
consequence,xgboost,precision,0.5355043278154216,0.4424232542345281,0.6250605157278302,22
consequence,xgboost,recall,0.26585436506138155,0.20696420244052444,0.3247508484914906,22
consequence,xgboost,f1,0.33318851350425105,0.2739646450122457,0.39045037967130264,22
consequence,xgboost,roc_auc,0.7824084967351048,0.7556946365713568,0.8086767117916085,22
consequence,xgboost,pr_auc,0.47510379768277977,0.42464059771061324,0.5280590035969236,22
consequence,xgboost,mcc,0.28273121253645767,0.21473137233335896,0.3414742139270804,22
consequence,xgboost,ce_at_20,0.4921430922277104,0.44749937284985275,0.5380652924649122,22
severity,decision_tree,precision,0.5702728875501739,0.47141621931672384,0.6671204594954049,22
severity,decision_tree,recall,0.43371563750091524,0.3609862635073797,0.5042105984260998,22
severity,decision_tree,f1,0.4788662230446448,0.4031355277216474,0.5535022008726145,22
severity,decision_tree,roc_auc,0.7002341581091828,0.6650633101697806,0.7354934330289699,22
severity,decision_tree,pr_auc,0.32197389375904856,0.24795694123325812,0.40703413961689144,22
severity,decision_tree,mcc,0.44667086935378586,0.3751578782151247,0.5186672416402376,22
severity,decision_tree,ce_at_20,0.4824122536599375,0.4076874228401482,0.5475624830795948,22
severity,lightgbm,precision,0.584043582547271,0.5069041350867519,0.6595487299307038,22
severity,lightgbm,recall,0.6825572838976168,0.6128702458684783,0.7448679148242764,22
severity,lightgbm,f1,0.6020761073383416,0.5330093677396169,0.6625505802368402,22
severity,lightgbm,roc_auc,0.9556900429124611,0.9425966794483228,0.9662910639009946,22
severity,lightgbm,pr_auc,0.7023779240306735,0.618237593883483,0.7743564525519291,22
severity,lightgbm,mcc,0.5713998852891765,0.5115173852336793,0.6233533152875883,22
severity,lightgbm,ce_at_20,0.8710295909858904,0.8090880393025175,0.9236385103286094,22
severity,logistic_regression,precision,0.520645520403201,0.4323598681948973,0.6088343840844713,22
severity,logistic_regression,recall,0.7726097205890693,0.6692733672025157,0.8538425647158564,22
severity,logistic_regression,f1,0.5997728263678627,0.5163369418812883,0.6744909546701399,22
severity,logistic_regression,roc_auc,0.9459056917882612,0.9243415590789218,0.9637793773538154,22
severity,logistic_regression,pr_auc,0.7017965802854073,0.6169112035892301,0.7764704852921643,22
severity,logistic_regression,mcc,0.5677476718383325,0.48649798665637356,0.6445642938585467,22
severity,logistic_regression,ce_at_20,0.8836049484892975,0.831229084384785,0.929170716177687,22
severity,random_forest,precision,0.7605757950359368,0.6353386047397424,0.8643162870582458,22
severity,random_forest,recall,0.26389570136875473,0.20298453795202234,0.32622425815814265,22
severity,random_forest,f1,0.3762909733001534,0.3027647918090695,0.446429230975981,22
severity,random_forest,roc_auc,0.9604571581628132,0.9487726654469855,0.9704890129358136,22
severity,random_forest,pr_auc,0.7026179120705831,0.6250063126040626,0.7736511959337689,22
severity,random_forest,mcc,0.4077013194634676,0.33440406905984854,0.47287744189043057,22
severity,random_forest,ce_at_20,0.873309417991316,0.8087359086306827,0.9291629093056919,22
severity,xgboost,precision,0.706993360321763,0.6117265822102603,0.7883348527497077,22
severity,xgboost,recall,0.5032730778178113,0.41321258991484316,0.5872218683545876,22
severity,xgboost,f1,0.5696297154147947,0.482275425411942,0.6486739132091369,22
severity,xgboost,roc_auc,0.9585297583949267,0.9424742096913388,0.9707624380804147,22
severity,xgboost,pr_auc,0.7110371536504517,0.6294040539635514,0.7807067395052638,22
severity,xgboost,mcc,0.5530450947642515,0.4703833633466719,0.6276818645165202,22
