variant,model,held_out_project,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,logistic_regression,org.apache:archiva,22326,1585,309,0.4829443447037702,0.8705501618122977,0.6212471131639723,0.8971692992868084,0.6375262929133968,0.5351008563991585,0.5954692556634305
consequence,logistic_regression,org.apache:batik,22199,1712,341,0.31985294117647056,0.5102639296187683,0.39322033898305087,0.7008230822376371,0.4088254010337561,0.20619954252705117,0.39882697947214074
consequence,logistic_regression,org.apache:bcel,23440,471,93,0.0,0.0,0.0,0.7243841383626329,0.33344159116965894,0.0,0.3655913978494624
consequence,logistic_regression,org.apache:cayenne,20341,3570,330,0.4482758620689655,0.07878787878787878,0.13402061855670103,0.7175612607557051,0.24708838384919948,0.15788064491625353,0.4727272727272727
consequence,logistic_regression,org.apache:cocoon,21209,2702,221,0.10530137981118373,0.6561085972850679,0.18147684605757197,0.6658331828685339,0.2816199336130547,0.08745599662038442,0.416289592760181
consequence,logistic_regression,org.apache:codec,23794,117,24,0.35185185185185186,0.7916666666666666,0.48717948717948717,0.8566308243727598,0.7022522774759183,0.3364073565498788,0.625
consequence,logistic_regression,org.apache:commons-cli,23752,159,32,0.40476190476190477,0.53125,0.4594594594594595,0.7396653543307087,0.435982547236119,0.30410602953569565,0.4375
consequence,logistic_regression,org.apache:commons-fileupload,23861,50,9,0.2,0.6666666666666666,0.3076923076923077,0.6693766937669376,0.4221891534391534,0.06375767130633384,0.3333333333333333
consequence,logistic_regression,org.apache:commons-jelly,23492,419,61,0.15625,0.9836065573770492,0.2696629213483146,0.7468632658668376,0.44559832314605985,0.1001638982382224,0.5245901639344263
consequence,logistic_regression,org.apache:commons-jexl,23753,158,32,0.3333333333333333,0.75,0.46153846153846156,0.7514880952380952,0.48190567163913156,0.2978017158138548,0.40625
consequence,logistic_regression,org.apache:configuration,23503,408,81,0.45454545454545453,0.6172839506172839,0.5235602094240838,0.8167780420583681,0.6106184605360278,0.38994123991636503,0.5555555555555556
consequence,logistic_regression,org.apache:daemon,23899,12,3,0.25,1.0,0.4,0.6666666666666667,0.3873015873015873,0.0,0.3333333333333333
consequence,logistic_regression,org.apache:dbcp,23798,113,23,0.27710843373493976,1.0,0.4339622641509434,0.8463768115942029,0.6033298604419461,0.3039234737753018,0.5217391304347826
consequence,logistic_regression,org.apache:digester,23578,333,67,0.5862068965517241,0.2537313432835821,0.3541666666666667,0.7870328807092358,0.5448521752226656,0.29661654711622154,0.4925373134328358
consequence,logistic_regression,org.apache:felix,20174,3737,378,0.12396121883656509,0.9470899470899471,0.21922841396203308,0.7454091589995133,0.34809102928177016,0.13952529653248566,0.5132275132275133
consequence,logistic_regression,org.apache:hive,18604,5307,1040,0.1961523953225198,1.0,0.3279722485020498,0.582108556723333,0.37192152414243773,0.015160743101290041,0.3894230769230769
consequence,logistic_regression,org.apache:httpclient,23214,697,140,0.3665338645418327,0.6571428571428571,0.47058823529411764,0.7388432931520902,0.4297558272757536,0.31021472987732984,0.4142857142857143
consequence,logistic_regression,org.apache:httpcore,23129,782,111,0.3435114503816794,0.40540540540540543,0.371900826446281,0.78495186691908,0.3791622065637671,0.25908969078028604,0.45045045045045046
consequence,logistic_regression,org.apache:net,23661,250,50,0.39473684210526316,0.6,0.47619047619047616,0.7924,0.5270021199229096,0.3217512951749588,0.46
consequence,logistic_regression,org.apache:thrift,23732,179,11,0.12962962962962962,0.6363636363636364,0.2153846153846154,0.7732683982683983,0.2951564849681552,0.18658749953188625,0.5454545454545454
consequence,logistic_regression,org.apache:vfs,23506,405,79,0.2257142857142857,1.0,0.3682983682983683,0.8489166731381533,0.6012822200369078,0.1951425915207039,0.569620253164557
consequence,logistic_regression,org.apache:zookeeper,23166,745,98,0.4140127388535032,0.6632653061224489,0.5098039215686274,0.856291202725294,0.517352149201709,0.43184035727705233,0.6530612244897959
consequence,decision_tree,org.apache:archiva,22326,1585,309,0.5459459459459459,0.3268608414239482,0.4089068825910931,0.6305150602104067,0.30967863517555716,0.3220663256573604,0.37216828478964403
consequence,decision_tree,org.apache:batik,22199,1712,341,0.2814498933901919,0.3870967741935484,0.32592592592592595,0.570645396578904,0.23102778508079783,0.1265283353433002,0.2961876832844575
consequence,decision_tree,org.apache:bcel,23440,471,93,0.0,0.0,0.0,0.47354497354497355,0.19745222929936307,-0.1044533327155087,0.1827956989247312
consequence,decision_tree,org.apache:cayenne,20341,3570,330,0.17405063291139242,0.16666666666666666,0.17027863777089783,0.5430812757201646,0.10613134142545907,0.08780845838479528,0.23030303030303031
