variant,model_a,model_b,metric,n_pairs,mean_a,mean_b,mean_diff,statistic,p_value,p_value_bonferroni,effect_size_r
consequence,decision_tree,lightgbm,f1,22,0.26640068286807395,0.4014079842676445,-0.1350073013995706,13.5,0.0002436342764153191,0.002436342764153191,0.7822036175518519
consequence,decision_tree,logistic_regression,f1,22,0.26640068286807395,0.36302517272125406,-0.09662448985318015,44.5,0.0077635583929208975,0.07763558392920897,0.5675793907764023
consequence,decision_tree,random_forest,f1,22,0.26640068286807395,0.19048792610566692,0.07591275676240701,38.0,0.004053507373603587,0.04053507373603587,0.6127319190094617
consequence,decision_tree,xgboost,f1,22,0.26640068286807395,0.33318851350425105,-0.06678783063617713,48.5,0.01133102977435502,0.1133102977435502,0.5398925912263339
consequence,lightgbm,logistic_regression,f1,22,0.4014079842676445,0.36302517272125406,0.038382811546390457,71.5,0.07416230299586596,0.7416230299586596,0.3806934938134406
consequence,lightgbm,random_forest,f1,22,0.4014079842676445,0.19048792610566692,0.2109200581619776,8.5,0.00012752024915672837,0.0012752024915672836,0.8168143970895447
consequence,lightgbm,xgboost,f1,22,0.4014079842676445,0.33318851350425105,0.06821947076339344,38.5,0.004276965310363563,0.042769653103635626,0.6091095901015049
consequence,logistic_regression,random_forest,f1,22,0.36302517272125406,0.19048792610566692,0.17253724661558717,12.5,0.00021468028036702425,0.0021468028036702425,0.7890737871769494
consequence,logistic_regression,xgboost,f1,22,0.36302517272125406,0.33318851350425105,0.02983665921700299,104.5,0.4750761247945565,1.0,0.15227739752537622
consequence,random_forest,xgboost,f1,22,0.19048792610566692,0.33318851350425105,-0.14270058739858416,9.5,0.00014558554132254836,0.0014558554132254836,0.8098388868395007
severity,decision_tree,lightgbm,f1,22,0.4788662230446448,0.6020761073383416,-0.12320988429369688,4.0,3.337860107421875e-06,3.337860107421875e-05,0.9911387862841504
severity,decision_tree,logistic_regression,f1,22,0.4788662230446448,0.5997728263678627,-0.12090660332321791,31.5,0.0020407511048129417,0.020407511048129417,0.6575614893141245
severity,decision_tree,random_forest,f1,22,0.4788662230446448,0.3762909733001534,0.1025752497444914,51.5,0.014888325317440589,0.14888325317440587,0.5191616930653885
severity,decision_tree,xgboost,f1,22,0.4788662230446448,0.5696297154147947,-0.09076349237014983,33.0,0.0023947036286563095,0.023947036286563094,0.647349541552369
severity,lightgbm,logistic_regression,f1,22,0.6020761073383416,0.5997728263678627,0.002303280970478971,113.5,0.672986001922131,1.0,0.08998209853772232
severity,lightgbm,random_forest,f1,22,0.6020761073383416,0.3762909733001534,0.22578513403818826,2.0,1.430511474609375e-06,1.430511474609375e-05,1.0277779436718175
severity,lightgbm,xgboost,f1,22,0.6020761073383416,0.5696297154147947,0.03244639192354699,81.0,0.1395994160685234,1.0,0.31495809379300244
severity,logistic_regression,random_forest,f1,22,0.5997728263678627,0.3762909733001534,0.2234818530677093,16.5,0.0003553202025859773,0.0035532020258597728,0.7613869876268811
severity,logistic_regression,xgboost,f1,22,0.5997728263678627,0.5696297154147947,0.03014311095306802,86.5,0.19407230748636606,1.0,0.276867995500684
severity,random_forest,xgboost,f1,22,0.3762909733001534,0.5696297154147947,-0.19333874211464125,3.5,6.516692086000422e-05,0.0006516692086000422,0.8513690861646033
szz,decision_tree,lightgbm,f1,16,0.02132711038961039,0.038378580104731955,-0.017051469715121566,48.0,0.2826297255094742,1.0,0.26860765467512665
szz,decision_tree,logistic_regression,f1,16,0.02132711038961039,0.10725818522160183,-0.08593107483199143,13.5,0.004689920440156203,0.046899204401562034,0.706898568016893
szz,decision_tree,random_forest,f1,16,0.02132711038961039,0.0,0.02132711038961039,45.5,0.21445475776445078,1.0,0.3103522082258881
szz,decision_tree,xgboost,f1,16,0.02132711038961039,0.0125,0.008827110389610386,55.0,0.47966254388484675,1.0,0.17671135554378695
szz,lightgbm,logistic_regression,f1,16,0.038378580104731955,0.10725818522160183,-0.06887960511686987,26.5,0.03130907251231881,0.31309072512318814,0.5382805609669921
szz,lightgbm,random_forest,f1,16,0.038378580104731955,0.0,0.038378580104731955,33.0,0.06007352609697843,0.6007352609697842,0.4700633956814719
szz,lightgbm,xgboost,f1,16,0.038378580104731955,0.0125,0.025878580104731954,39.0,0.11483947585189885,1.0,0.3942022546746018
szz,logistic_regression,random_forest,f1,16,0.10725818522160183,0.0,0.10725818522160183,7.5,0.0016958964335089337,0.016958964335089338,0.7847222635783859
szz,logistic_regression,xgboost,f1,16,0.10725818522160183,0.0125,0.09475818522160183,16.5,0.007541258503277108,0.07541258503277108,0.6679867202361467
szz,random_forest,xgboost,f1,16,0.0,0.0125,-0.0125,60.0,0.6463551955394902,1.0,0.11470786693528087
consequence,decision_tree,lightgbm,pr_auc,22,0.2152027329190301,0.4591250360932835,-0.24392230317425334,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
consequence,decision_tree,logistic_regression,pr_auc,22,0.2152027329190301,0.45510251001868574,-0.23989977709965557,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
consequence,decision_tree,random_forest,pr_auc,22,0.2152027329190301,0.4862666305657892,-0.271063897646759,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
consequence,decision_tree,xgboost,pr_auc,22,0.2152027329190301,0.47510379768277977,-0.25990106476374975,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
consequence,lightgbm,logistic_regression,pr_auc,22,0.4591250360932835,0.45510251001868574,0.004022526074597821,124.0,0.9492697715759277,1.0,0.013564642119464981
consequence,lightgbm,random_forest,pr_auc,22,0.4591250360932835,0.4862666305657892,-0.027141594472505626,86.0,0.19821882247924805,1.0,0.27431316424330243
consequence,lightgbm,xgboost,pr_auc,22,0.4591250360932835,0.47510379768277977,-0.015978761589496335,57.0,0.022916316986083984,0.22916316986083984,0.4849947207047828
consequence,logistic_regression,random_forest,pr_auc,22,0.45510251001868574,0.4862666305657892,-0.031164120547103446,82.0,0.15597057342529297,1.0,0.302479496655022
consequence,logistic_regression,xgboost,pr_auc,22,0.45510251001868574,0.47510379768277977,-0.02000128766409416,86.0,0.19821882247924805,1.0,0.27431316424330243
consequence,random_forest,xgboost,pr_auc,22,0.4862666305657892,0.47510379768277977,0.011162832883009288,102.0,0.4434065818786621,1.0,0.16340840946811253
severity,decision_tree,lightgbm,pr_auc,22,0.32197389375904856,0.7023779240306735,-0.3804040302716249,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
severity,decision_tree,logistic_regression,pr_auc,22,0.32197389375904856,0.7017965802854073,-0.3798226865263587,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
severity,decision_tree,random_forest,pr_auc,22,0.32197389375904856,0.7026179120705831,-0.38064401831153455,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
severity,decision_tree,xgboost,pr_auc,22,0.32197389375904856,0.7110371536504517,-0.38906325989140317,0.0,4.76837158203125e-07,4.76837158203125e-06,1.0735521598310263
severity,lightgbm,logistic_regression,pr_auc,22,0.7023779240306735,0.7017965802854073,0.0005813437452662016,123.0,0.9239659309387207,1.0,0.020347719264573422
severity,lightgbm,random_forest,pr_auc,22,0.7023779240306735,0.7026179120705831,-0.000239988039909675,118.0,0.7990336418151855,1.0,0.054280465562912036
severity,lightgbm,xgboost,pr_auc,22,0.7023779240306735,0.7110371536504517,-0.008659229619778348,89.5,0.2296623602420801,1.0,0.2561028958381328
severity,logistic_regression,random_forest,pr_auc,22,0.7017965802854073,0.7026179120705831,-0.0008213317851758772,118.5,0.7950625512136855,1.0,0.055377247260308106
severity,logistic_regression,xgboost,pr_auc,22,0.7017965802854073,0.7110371536504517,-0.00924057336504455,102.5,0.435876277946031,1.0,0.16612079730041043
severity,random_forest,xgboost,pr_auc,22,0.7026179120705831,0.7110371536504517,-0.008419241579868673,96.5,0.3300716798086263,1.0,0.207650996625513
szz,decision_tree,lightgbm,pr_auc,16,0.03952183312536701,0.1508337343565554,-0.11131190123118836,0.0,3.0517578125e-05,0.00030517578125,1.0423923308372764
szz,decision_tree,logistic_regression,pr_auc,16,0.03952183312536701,0.18393778681517486,-0.14441595368980786,0.0,3.0517578125e-05,0.00030517578125,1.0423923308372764
szz,decision_tree,random_forest,pr_auc,16,0.03952183312536701,0.1681328820056964,-0.12861104888032937,0.0,3.0517578125e-05,0.00030517578125,1.0423923308372764
