variant,model,n_projects,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,mcc_ci_low,mcc_ci_high,ce_at_20_ci_low,ce_at_20_ci_high
consequence,decision_tree,22,0.26577652905883403,0.2850818490439933,0.26640068286807395,0.5736124800639688,0.2152027329190301,0.13489807295253303,0.2865030576057413,0.14550975150259018,0.15921903015851216,0.13771449845101233,0.05964023868584688,0.06829700872882125,0.13209356780857645,0.11881073240567214,0.20459334550522956,0.32439300036478336,0.22016719184031258,0.3501820955277868,0.20801415706535958,0.3211100954480785,0.5490371298679855,0.5975952088260507,0.18699768100060052,0.2428362724820259,0.07906855886794706,0.18722618810415403,0.2364126638144855,0.33343255568456664
consequence,lightgbm,22,0.3660293489665188,0.4907742303976063,0.4014079842676445,0.7645708140182296,0.4591250360932835,0.29603215004192,0.48467735124757017,0.17183445471589784,0.20802209837352492,0.16296940095789986,0.07677409017970166,0.12511134081380304,0.14706110239269776,0.09729556561395714,0.29332173350061846,0.4355197183535033,0.403876641870342,0.5717133308149742,0.3296517071381289,0.46290775819811897,0.7326010310046083,0.7951007409825629,0.4076913108088172,0.5108576126497195,0.23380245472028363,0.3543622589307035,0.44517320593230214,0.523881411516306
consequence,logistic_regression,22,0.29839476490567624,0.6645083138290707,0.36302517272125406,0.7594926703654997,0.4551025100186857,0.22448487165957792,0.476103004840564,0.14517203331482761,0.29009042428039944,0.14686523747158778,0.07681649123749466,0.12469244629922989,0.1446790206680705,0.09124644904383732,0.23864822275337036,0.35614607717408714,0.5438334263463402,0.7797592869029589,0.300773020071849,0.4194537322846756,0.7280781968593,0.7903302324590771,0.40487938378980454,0.5068372893722197,0.16551438686921532,0.2835307029733384,0.43999743779331046,0.5131365666181388
consequence,random_forest,22,0.5576902897230593,0.12039981126771174,0.19048792610566692,0.7879836209400009,0.4862666305657891,0.21365818423431857,0.5021438801025131,0.33236313855554006,0.10231792227490585,0.1471931340294468,0.06673027133414978,0.12725890932629771,0.14781810451056684,0.10238976344549282,0.41557171720618336,0.685941746891521,0.07967031250873824,0.1633383390061633,0.13142614587095253,0.25087568473943045,0.7602746951445714,0.8143245885776418,0.4357400063126585,0.5412817667266994,0.1530082456869292,0.27394316189513584,0.46091169680070576,0.5441849969889182
consequence,xgboost,22,0.5355043278154216,0.26585436506138144,0.33318851350425105,0.7824084967351048,0.4751037976827799,0.2827312125364577,0.4921430922277104,0.22226972642239165,0.1450755101211963,0.1424469673499121,0.06586433495042221,0.12540038791007918,0.15517929544958442,0.11117150387807008,0.4424232542345281,0.6250605157278302,0.20696420244052444,0.3247508484914906,0.2739646450122457,0.39045037967130264,0.7556946365713568,0.8086767117916085,0.42464059771061324,0.5280590035969236,0.21473137233335896,0.3414742139270804,0.44749937284985275,0.5380652924649122
severity,decision_tree,22,0.5702728875501738,0.43371563750091513,0.47886622304464477,0.7002341581091828,0.32197389375904856,0.44667086935378575,0.4824122536599375,0.23627293221478785,0.17759102013038677,0.1825651845650011,0.08684032652482143,0.19362541092092436,0.1754237315958925,0.1708302224095948,0.47141621931672384,0.6671204594954049,0.3609862635073797,0.5042105984260998,0.4031355277216474,0.5535022008726145,0.6650633101697806,0.7354934330289699,0.24795694123325812,0.40703413961689144,0.3751578782151247,0.5186672416402376,0.4076874228401482,0.5475624830795948
severity,lightgbm,22,0.584043582547271,0.6825572838976167,0.6020761073383416,0.9556900429124613,0.7023779240306735,0.5713998852891765,0.8710295909858903,0.18529042940535206,0.1617041096151981,0.15749777067134468,0.02976525736906968,0.18879988761929886,0.13582559841161915,0.14198510792702565,0.5069041350867519,0.6595487299307038,0.6128702458684783,0.7448679148242764,0.5330093677396169,0.6625505802368402,0.9425966794483228,0.9662910639009946,0.618237593883483,0.7743564525519291,0.5115173852336793,0.6233533152875883,0.8090880393025175,0.9236385103286094
severity,logistic_regression,22,0.520645520403201,0.7726097205890692,0.5997728263678627,0.945905691788261,0.7017965802854073,0.5677476718383325,0.8836049484892975,0.21691334090721642,0.22598794687645637,0.19330115182697866,0.04835498838332031,0.19473693706540818,0.19342595462754705,0.12160536533748563,0.4323598681948973,0.6088343840844713,0.6692733672025157,0.8538425647158564,0.5163369418812883,0.6744909546701399,0.9243415590789218,0.9637793773538154,0.6169112035892301,0.7764704852921643,0.48649798665637356,0.6445642938585467,0.831229084384785,0.929170716177687
severity,random_forest,22,0.7605757950359369,0.26389570136875473,0.3762909733001534,0.9604571581628133,0.7026179120705831,0.4077013194634676,0.8733094179913159,0.28437845358339864,0.1511960217838214,0.1765496710851705,0.026682898888437133,0.1836608685224615,0.17068791341619402,0.14808746750618737,0.6353386047397424,0.8643162870582458,0.20298453795202234,0.32622425815814265,0.3027647918090695,0.446429230975981,0.9487726654469855,0.9704890129358136,0.6250063126040626,0.7736511959337689,0.33440406905984854,0.47287744189043057,0.8087359086306827,0.9291629093056919
severity,xgboost,22,0.706993360321763,0.5032730778178113,0.5696297154147947,0.9585297583949269,0.7110371536504517,0.5530450947642515,0.8703084932848579,0.21548178572585958,0.2134512797909184,0.20488669878433233,0.034974773789622986,0.18854793185576735,0.194005860901405,0.15191145748154658,0.6117265822102603,0.7883348527497077,0.41321258991484316,0.5872218683545876,0.482275425411942,0.6486739132091369,0.9424742096913388,0.9707624380804147,0.6294040539635514,0.7807067395052638,0.4703833633466719,0.6276818645165202,0.8044838389132392,0.9265295786240575
szz,decision_tree,16,0.02441620879120879,0.04247311827956989,0.02132711038961039,0.5001979098019526,0.039521833125367,0.007092357478670304,0.17719145168741943,0.06858028282684162,0.12604976012662664,0.0496136360803431,0.07741582377183932,0.03542140373403482,0.06018628617563904,0.1565631790617749,0.0,0.06253434065934066,0.0,0.11202956989247312,0.0,0.0476663961038961,0.462824916777973,0.539507246682473,0.023691080623711745,0.05640253559083969,-0.01806679521656907,0.0386662794988381,0.10517962014433792,0.2513682426610854
szz,lightgbm,16,0.12957516339869282,0.05531474014336918,0.038378580104731955,0.7133726001926569,0.1508337343565554,0.052464261324114546,0.4885615648216455,0.27788387055100866,0.1306820174356386,0.0681945243217768,0.13097841930327597,0.13553842583277562,0.09913070530514656,0.23450697385400057,0.014705882352941176,0.2823529411764706,0.006944444444444444,0.1259744623655914,0.009166125892277742,0.0736847594326504,0.6501190770760937,0.7747739030377172,0.09061896921471876,0.21729592163139433,0.010072577256900282,0.10447149867111714,0.3787420969162401,0.5998138957816377
szz,logistic_regression,16,0.12627173724649962,0.4116431451612903,0.10725818522160183,0.7747974560101808,0.18393778681517486,0.09991000322601479,0.5537960649855811,0.2514770372201742,0.415001630042824,0.1231154649283829,0.11718701675771175,0.15885080433334597,0.13908908764911077,0.249155369764371,0.035288932240078674,0.26373288970048964,0.21735467069892492,0.6100890456989246,0.05228161370999454,0.16878202414688617,0.7136234147142713,0.8241717389601607,0.11439425928888898,0.26286068802547335,0.03850293573324098,0.16804053305413852,0.43186589563353683,0.6676104691074448
szz,random_forest,16,0.0,0.0,0.0,0.7598149594242042,0.1681328820056964,0.0,0.5416457089844187,0.0,0.0,0.0,0.0969187393495569,0.1552760659056897,0.0,0.2071472726290364,0.0,0.0,0.0,0.0,0.0,0.0,0.7128002090477255,0.8052121697086487,0.09702335070063255,0.2442562431423024,0.0,0.0,0.43747900622396596,0.6346514137819581
szz,xgboost,16,0.0625,0.006944444444444444,0.0125,0.7732236948778589,0.13731830414762197,0.018468061812031193,0.5277357692680273,0.24999999999999997,0.027777777777777776,0.05,0.1081205459764143,0.14548628758489945,0.08086361941673248,0.29753671440583673,0.0,0.1875,0.0,0.020833333333333332,0.0,0.037500000000000006,0.7209975279974521,0.8227835693942515,0.07808599639797305,0.2153403134126386,-0.0035905381716569832,0.05991824346395585,0.3864800664498245,0.6659895076528138
