variant,model,precision_within,recall_within,f1_within,roc_auc_within,pr_auc_within,mcc_within,ce_at_20_within,precision_lopo,recall_lopo,f1_lopo,roc_auc_lopo,pr_auc_lopo,mcc_lopo,ce_at_20_lopo,precision_gap,recall_gap,f1_gap,roc_auc_gap,pr_auc_gap,mcc_gap,ce_at_20_gap
consequence,decision_tree,0.508,0.495,0.501,0.706,0.327,0.416,0.521,0.266,0.285,0.266,0.574,0.215,0.135,0.287,0.242,0.21,0.235,0.132,0.112,0.281,0.235
consequence,lightgbm,0.509,0.749,0.606,0.909,0.686,0.536,0.724,0.366,0.491,0.401,0.765,0.459,0.296,0.485,0.143,0.258,0.204,0.144,0.227,0.24,0.239
consequence,logistic_regression,0.363,0.739,0.487,0.835,0.517,0.398,0.594,0.298,0.665,0.363,0.759,0.455,0.224,0.476,0.065,0.075,0.124,0.076,0.062,0.174,0.118
consequence,random_forest,0.784,0.429,0.554,0.915,0.703,0.531,0.746,0.558,0.12,0.19,0.788,0.486,0.214,0.502,0.226,0.308,0.363,0.127,0.217,0.318,0.243
consequence,svm,0.633,0.309,0.415,0.841,0.514,0.381,0.602,,,,,,,,,,,,,,
consequence,xgboost,0.742,0.467,0.573,0.911,0.695,0.536,0.736,0.536,0.266,0.333,0.782,0.475,0.283,0.492,0.207,0.201,0.24,0.129,0.22,0.254,0.243
severity,decision_tree,0.656,0.627,0.641,0.796,0.448,0.604,0.674,0.57,0.434,0.479,0.7,0.322,0.447,0.482,0.086,0.194,0.162,0.096,0.126,0.157,0.192
severity,lightgbm,0.62,0.849,0.716,0.976,0.82,0.691,0.963,0.584,0.683,0.602,0.956,0.702,0.571,0.871,0.036,0.166,0.114,0.02,0.117,0.12,0.092
severity,logistic_regression,0.52,0.869,0.651,0.962,0.758,0.629,0.924,0.521,0.773,0.6,0.946,0.702,0.568,0.884,-0.0,0.096,0.051,0.016,0.056,0.061,0.04
severity,random_forest,0.806,0.58,0.674,0.974,0.807,0.656,0.968,0.761,0.264,0.376,0.96,0.703,0.408,0.873,0.046,0.316,0.298,0.014,0.104,0.249,0.095
severity,svm,0.725,0.515,0.602,0.959,0.722,0.577,0.918,,,,,,,,,,,,,,
severity,xgboost,0.785,0.65,0.711,0.976,0.82,0.687,0.968,0.707,0.503,0.57,0.959,0.711,0.553,0.87,0.078,0.147,0.141,0.018,0.109,0.134,0.098
szz,decision_tree,0.243,0.232,0.235,0.611,0.068,0.227,0.36,0.024,0.042,0.021,0.5,0.04,0.007,0.177,0.218,0.189,0.214,0.111,0.028,0.22,0.183
szz,lightgbm,0.352,0.306,0.324,0.936,0.264,0.319,0.916,0.13,0.055,0.038,0.713,0.151,0.052,0.489,0.223,0.251,0.285,0.222,0.113,0.266,0.427
szz,logistic_regression,0.058,0.825,0.108,0.923,0.213,0.19,0.852,0.126,0.412,0.107,0.775,0.184,0.1,0.554,-0.068,0.414,0.001,0.149,0.029,0.09,0.298
szz,random_forest,0.504,0.057,0.098,0.933,0.28,0.157,0.943,0.0,0.0,0.0,0.76,0.168,0.0,0.542,0.504,0.057,0.098,0.173,0.112,0.157,0.401
szz,svm,0.35,0.027,0.05,0.91,0.184,0.093,0.859,,,,,,,,,,,,,,
szz,xgboost,0.467,0.12,0.186,0.946,0.276,0.228,0.919,0.062,0.007,0.012,0.773,0.137,0.018,0.528,0.405,0.114,0.174,0.173,0.139,0.209,0.391
