variant,model_a,model_b,metric,n_pairs,mean_a,mean_b,mean_diff,statistic,p_value,p_value_bonferroni,effect_size_r
consequence,decision_tree,lightgbm,f1,10,0.5010644196232608,0.6056280201705181,-0.10456360054725726,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,logistic_regression,f1,10,0.5010644196232608,0.4871637193797368,0.01390070024352406,13.0,0.16015625,1.0,0.44415652232261216
consequence,decision_tree,random_forest,f1,10,0.5010644196232608,0.5538889605839774,-0.05282454096071655,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,svm,f1,10,0.5010644196232608,0.41522948290769185,0.08583493671556897,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,xgboost,f1,10,0.5010644196232608,0.5731021628765142,-0.07203774325325332,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,logistic_regression,f1,10,0.6056280201705181,0.4871637193797368,0.11846430079078132,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,random_forest,f1,10,0.6056280201705181,0.5538889605839774,0.051739059586540716,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,svm,f1,10,0.6056280201705181,0.41522948290769185,0.1903985372628262,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,xgboost,f1,10,0.6056280201705181,0.5731021628765142,0.032525857294003944,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,logistic_regression,random_forest,f1,10,0.4871637193797368,0.5538889605839774,-0.06672524120424062,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,logistic_regression,svm,f1,10,0.4871637193797368,0.41522948290769185,0.07193423647204492,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,logistic_regression,xgboost,f1,10,0.4871637193797368,0.5731021628765142,-0.08593844349677737,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,random_forest,svm,f1,10,0.5538889605839774,0.41522948290769185,0.13865947767628553,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,random_forest,xgboost,f1,10,0.5538889605839774,0.5731021628765142,-0.019213202292536768,4.0,0.013671875,0.205078125,0.7797452218554403
consequence,svm,xgboost,f1,10,0.41522948290769185,0.5731021628765142,-0.15787267996882232,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,lightgbm,f1,10,0.6411080407473531,0.7162056266550492,-0.07509758590769625,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,logistic_regression,f1,10,0.6411080407473531,0.6508362676909382,-0.009728226943585206,14.0,0.193359375,1.0,0.41131910581591496
severity,decision_tree,random_forest,f1,10,0.6411080407473531,0.6742545772983101,-0.03314653655095695,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,svm,f1,10,0.6411080407473531,0.6020596438084858,0.03904839693886728,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,xgboost,f1,10,0.6411080407473531,0.7107496846733502,-0.0696416439259971,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,logistic_regression,f1,10,0.7162056266550492,0.6508362676909382,0.06536935896411103,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,random_forest,f1,10,0.7162056266550492,0.6742545772983101,0.04195104935673929,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,svm,f1,10,0.7162056266550492,0.6020596438084858,0.11414598284656352,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,xgboost,f1,10,0.7162056266550492,0.7107496846733502,0.005455941981699142,14.0,0.193359375,1.0,0.41131910581591496
severity,logistic_regression,random_forest,f1,10,0.6508362676909382,0.6742545772983101,-0.023418309607371745,0.0,0.001953125,0.029296875,0.9794424813518325
severity,logistic_regression,svm,f1,10,0.6508362676909382,0.6020596438084858,0.048776623882452484,2.0,0.005859375,0.087890625,0.8713810644023898
severity,logistic_regression,xgboost,f1,10,0.6508362676909382,0.7107496846733502,-0.05991341698241189,0.0,0.001953125,0.029296875,0.9794424813518325
severity,random_forest,svm,f1,10,0.6742545772983101,0.6020596438084858,0.07219493348982423,0.0,0.001953125,0.029296875,0.9794424813518325
severity,random_forest,xgboost,f1,10,0.6742545772983101,0.7107496846733502,-0.03649510737504015,0.0,0.001953125,0.029296875,0.9794424813518325
severity,svm,xgboost,f1,10,0.6020596438084858,0.7107496846733502,-0.10869004086486438,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,lightgbm,f1,10,0.23521338837082725,0.3237680386150944,-0.08855465024426716,6.0,0.02734375,0.41015625,0.6977803512736567
szz,decision_tree,logistic_regression,f1,10,0.23521338837082725,0.10806521661751407,0.1271481717533132,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,random_forest,f1,10,0.23521338837082725,0.09820702152857849,0.13700636684224882,1.0,0.00390625,0.05859375,0.9125178818969072
szz,decision_tree,svm,f1,10,0.23521338837082725,0.04963343108504399,0.1855799572857833,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,xgboost,f1,10,0.23521338837082725,0.1863796286339723,0.04883375973685498,12.0,0.130859375,1.0,0.47773214363474176
szz,lightgbm,logistic_regression,f1,10,0.3237680386150944,0.10806521661751407,0.21570282199758037,0.0,0.001953125,0.029296875,0.9794424813518325
szz,lightgbm,random_forest,f1,10,0.3237680386150944,0.09820702152857849,0.22556101708651596,0.0,0.001953125,0.029296875,0.9794424813518325
szz,lightgbm,svm,f1,10,0.3237680386150944,0.04963343108504399,0.2741346075300505,0.0,0.001953125,0.029296875,0.9794424813518325
szz,lightgbm,xgboost,f1,10,0.3237680386150944,0.1863796286339723,0.13738840998112214,1.0,0.00390625,0.05859375,0.9125178818969072
szz,logistic_regression,random_forest,f1,10,0.10806521661751407,0.09820702152857849,0.009858195088935578,20.0,0.4921875,1.0,0.21719590193675758
szz,logistic_regression,svm,f1,10,0.10806521661751407,0.04963343108504399,0.05843178553247008,6.0,0.02734375,0.41015625,0.6977803512736567
szz,logistic_regression,xgboost,f1,10,0.10806521661751407,0.1863796286339723,-0.07831441201645824,9.0,0.064453125,0.966796875,0.5847154057529631
szz,random_forest,svm,f1,10,0.09820702152857849,0.04963343108504399,0.048573590443534514,10.5,0.09375,1.0,0.5299786745115248
szz,random_forest,xgboost,f1,10,0.09820702152857849,0.1863796286339723,-0.08817260710539382,2.5,0.0078125,0.1171875,0.8411871930549643
szz,svm,xgboost,f1,10,0.04963343108504399,0.1863796286339723,-0.1367461975489283,4.5,0.015625,0.234375,0.7644992869183345
consequence,decision_tree,lightgbm,pr_auc,10,0.3269262298735594,0.6857412490878032,-0.35881501921424375,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,logistic_regression,pr_auc,10,0.3269262298735594,0.5166074041883444,-0.18968117431478487,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,random_forest,pr_auc,10,0.3269262298735594,0.703209404150625,-0.3762831742770656,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,svm,pr_auc,10,0.3269262298735594,0.5135064605656335,-0.18658023069207405,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,decision_tree,xgboost,pr_auc,10,0.3269262298735594,0.6951999557455427,-0.36827372587198326,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,logistic_regression,pr_auc,10,0.6857412490878032,0.5166074041883444,0.1691338448994589,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,random_forest,pr_auc,10,0.6857412490878032,0.703209404150625,-0.01746815506282189,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,svm,pr_auc,10,0.6857412490878032,0.5135064605656335,0.17223478852216967,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,lightgbm,xgboost,pr_auc,10,0.6857412490878032,0.6951999557455427,-0.009458706657739513,5.0,0.01953125,0.29296875,0.7384655273896698
consequence,logistic_regression,random_forest,pr_auc,10,0.5166074041883444,0.703209404150625,-0.18660199996228077,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,logistic_regression,svm,pr_auc,10,0.5166074041883444,0.5135064605656335,0.0031009436227107945,22.0,0.625,1.0,0.1545646725685195
consequence,logistic_regression,xgboost,pr_auc,10,0.5166074041883444,0.6951999557455427,-0.1785925515571984,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,random_forest,svm,pr_auc,10,0.703209404150625,0.5135064605656335,0.18970294358499157,0.0,0.001953125,0.029296875,0.9794424813518325
consequence,random_forest,xgboost,pr_auc,10,0.703209404150625,0.6951999557455427,0.008009448405082376,11.0,0.10546875,1.0,0.5119411757951574
