PROJECT_ID,n_sonar_basenames,n_git_basenames,n_intersection,sonar_coverage_pct,sonar_full_paths,sonar_basenames,max_files_per_basename,basename_collision_pct
org.apache:archiva,856,2072,855,99.88,1767,856,7,51.6
org.apache:batik,1472,2390,1472,100.0,1718,1472,21,14.3
org.apache:bcel,417,518,417,100.0,717,417,5,41.8
org.apache:cayenne,968,5820,968,100.0,1071,968,5,9.6
org.apache:cocoon,2878,3916,2878,100.0,7107,2878,18,59.5
org.apache:codec,58,164,58,100.0,85,58,3,31.8
org.apache:commons-cli,67,169,65,97.00999999999999,91,67,3,26.4
org.apache:commons-fileupload,28,79,28,100.0,39,28,2,28.2
org.apache:commons-jelly,336,534,336,100.0,530,336,7,36.6
org.apache:commons-jexl,138,268,138,100.0,245,138,8,43.7
org.apache:configuration,226,549,226,100.0,464,226,4,51.3
org.apache:daemon,15,18,15,100.0,19,15,2,21.1
org.apache:dbcp,65,153,65,100.0,142,65,4,54.2
org.apache:digester,162,383,162,100.0,415,162,18,61.0
org.apache:felix,2099,6287,2099,100.0,3073,2099,76,31.7
org.apache:hive,3079,9103,3079,100.0,4163,3079,10,26.0
org.apache:httpclient,577,1300,577,100.0,1010,577,6,42.9
org.apache:httpcore,625,1591,625,100.0,1003,625,8,37.7
org.apache:net,211,288,211,100.0,590,211,5,64.2
org.apache:thrift,92,248,92,100.0,133,92,3,30.8
org.apache:vfs,269,592,269,100.0,578,269,5,53.5
org.apache:zookeeper,196,1190,196,100.0,196,196,1,0.0
