variant,model,project_id,n,tp,fp,fn,tn,error_rate
consequence,decision_tree,org.apache:archiva,1585,177,122,132,1154,0.1603
consequence,decision_tree,org.apache:batik,1712,195,157,146,1214,0.177
consequence,decision_tree,org.apache:bcel,471,60,35,33,343,0.1444
consequence,decision_tree,org.apache:cayenne,3570,144,174,186,3066,0.1008
consequence,decision_tree,org.apache:cocoon,2702,90,127,131,2354,0.0955
consequence,decision_tree,org.apache:codec,117,13,8,11,85,0.1624
consequence,decision_tree,org.apache:commons-cli,159,18,19,14,108,0.2075
consequence,decision_tree,org.apache:commons-fileupload,50,2,7,7,34,0.28
consequence,decision_tree,org.apache:commons-jelly,419,19,36,42,322,0.1862
consequence,decision_tree,org.apache:commons-jexl,158,6,20,26,106,0.2911
consequence,decision_tree,org.apache:configuration,408,35,27,46,300,0.1789
consequence,decision_tree,org.apache:daemon,12,0,2,3,7,0.4167
consequence,decision_tree,org.apache:dbcp,113,10,13,13,77,0.2301
consequence,decision_tree,org.apache:digester,333,30,31,37,235,0.2042
consequence,decision_tree,org.apache:felix,3737,178,184,200,3175,0.1028
consequence,decision_tree,org.apache:hive,5307,593,468,447,3799,0.1724
consequence,decision_tree,org.apache:httpclient,697,42,77,98,480,0.2511
consequence,decision_tree,org.apache:httpcore,782,44,63,67,608,0.1662
consequence,decision_tree,org.apache:net,250,26,25,24,175,0.196
consequence,decision_tree,org.apache:thrift,179,1,10,10,158,0.1117
consequence,decision_tree,org.apache:vfs,405,38,29,41,297,0.1728
consequence,decision_tree,org.apache:zookeeper,745,27,58,71,589,0.1732
consequence,lightgbm,org.apache:archiva,1585,278,223,31,1053,0.1603
consequence,lightgbm,org.apache:batik,1712,281,229,60,1142,0.1688
consequence,lightgbm,org.apache:bcel,471,78,56,15,322,0.1507
consequence,lightgbm,org.apache:cayenne,3570,197,248,133,2992,0.1067
consequence,lightgbm,org.apache:cocoon,2702,152,218,69,2263,0.1062
consequence,lightgbm,org.apache:codec,117,19,16,5,77,0.1795
consequence,lightgbm,org.apache:commons-cli,159,22,17,10,110,0.1698
consequence,lightgbm,org.apache:commons-fileupload,50,6,10,3,31,0.26
consequence,lightgbm,org.apache:commons-jelly,419,33,51,28,307,0.1885
consequence,lightgbm,org.apache:commons-jexl,158,20,20,12,106,0.2025
consequence,lightgbm,org.apache:configuration,408,58,49,23,278,0.1765
consequence,lightgbm,org.apache:daemon,12,2,3,1,6,0.3333
consequence,lightgbm,org.apache:dbcp,113,16,17,7,73,0.2124
consequence,lightgbm,org.apache:digester,333,49,47,18,219,0.1952
consequence,lightgbm,org.apache:felix,3737,259,249,119,3110,0.0985
consequence,lightgbm,org.apache:hive,5307,838,704,202,3563,0.1707
consequence,lightgbm,org.apache:httpclient,697,101,135,39,422,0.2496
consequence,lightgbm,org.apache:httpcore,782,71,101,40,570,0.1803
consequence,lightgbm,org.apache:net,250,36,39,14,161,0.212
consequence,lightgbm,org.apache:thrift,179,4,12,7,156,0.1061
