feature,perm_importance_mean,perm_importance_std
days_since_last_change_at_snapshot,0.07029852186115844,0.0027851287325026666
pseudo_ncloc_at_t,0.06117730587021961,0.0014507097848807887
cocg_closeness,0.02173064670829892,0.0017919723643003962
file_age_days_at_snapshot,0.015349484268488433,0.0020101180829393056
cocg_strength_mean,0.0068630254305396265,0.0014972092754668535
cocg_strength_sum,0.006703086893576371,0.0009018161007591118
time_since_last_bugfix_days,0.004861381974451429,0.0009674405665833493
total_commits_pre,0.0047095982554934855,0.0010758190711857875
szz_inducing_pre_365d,0.0045245012374501405,0.0007512859512051988
n_distinct_rules,0.00408625784771095,0.0011045467274564548
code_churn_pre,0.0033036382286762535,0.0005040914693819618
cocg_degree,0.0032528701489242364,0.0005709909318732697
cocg_betweenness,0.0027699661175986322,0.0004619633153038464
recent_commits_90d_pre,0.002243824200168376,0.00012017201369773298
avg_change_size_pre,0.0022224828679418217,0.0007333846202146187
project_sqale_debt_ratio,0.0021229246855709815,0.0005767326548808064
szz_inducing_pre,0.002082983428021623,0.0009254535917293491
cocg_pagerank,0.002035789587650649,0.0005034873904434456
project_comment_lines_density,0.001995119601683859,0.0009494103248446898
n_minor,0.0019722514099159037,0.0003760424593822539
ownership_ratio_pre,0.0019404996717251155,0.000643959211504499
issue_density,0.0016317617321804033,0.0006865673879551781
cocg_strength_max,0.0016264524251387025,0.000457588325403643
code_added_pre,0.0015736022641938297,0.0006142569408502583
total_contributors_pre,0.0015669396043767269,0.0004929448451321746
recent_churn_30d_pre,0.0014116857500974024,0.00041586532850227634
cocg_clustering_coef,0.0012955403208902317,0.0003748157464096667
cocg_neighbour_count_30d,0.0011567002066811716,0.0003419127272963008
code_removed_pre,0.001094792992547422,0.00040283039236240213
debt_per_loc,0.0010798367093122208,0.0003202929750956693
std_change_size_pre,0.0010012728456358256,0.0005128751462363755
max_single_commit_churn_pre,0.0009762531699685217,0.0007904016019763746
n_bug,0.000908169114962698,0.0001818923787839326
project_duplicated_lines_density,0.0007260911146490523,0.00036231550446359345
bugfix_commits_pre,0.0005723988212643194,0.0003789600676217689
recent_commits_30d_pre,0.0004326564718717174,5.99982884776639e-05
cocg_neighbour_count_90d,0.00038188839211961145,0.0004181187778440456
n_major,0.000348332183561717,0.00043582369624689044
n_issues_open,0.000329940466358325,0.00013828385194860246
max_severity_rank,0.0002887499600933152,0.00013266524756879564
project_function_complexity,0.0002606071626367612,0.0002616009563427414
project_open_issues,0.00023701024245135205,6.19712151622723e-05
recent_churn_90d_pre,0.00020279470818236335,0.0004105184957193556
total_debt_minutes,0.0001981794282048588,0.00040575321120608015
n_info,0.00016399859528912764,0.00017234577906735237
project_ncloc,0.0001562948948756082,0.00012152557575327488
n_blocker,0.0001246472607444815,0.00023972446282705082
project_duplicated_blocks,0.00012291219308382395,5.462103227777509e-05
has_project_context,0.00012142003489559183,0.00021604983922845084
n_code_smell,8.102765975450676e-05,8.323313255654028e-05
bugfix_commits_pre_365d,7.56489500063795e-05,3.5744078302395474e-05
project_reliability_rating,3.577709516358052e-05,3.7109751083330154e-05
project_duplicated_files,3.234166119532311e-05,1.2143292201065966e-05
bugfix_commits_pre_90d,2.2312970116500352e-05,8.485425337924052e-05
project_comment_lines,1.7767092845422107e-05,0.00018351752822464673
n_vulnerability,6.315646284904552e-06,9.257915225683532e-06
total_effort_minutes,0.0,0.0
project_coverage,0.0,0.0
project_lines,0.0,0.0
project_files,0.0,0.0
project_functions,0.0,0.0
project_uncovered_lines,0.0,0.0
project_lines_to_cover,0.0,0.0
project_sqale_rating,0.0,0.0
project_line_coverage,0.0,0.0
bug_density_pre,0.0,0.0
project_cognitive_complexity,0.0,0.0
project_complexity,0.0,0.0
project_security_rating,0.0,0.0
linked_jira_bugs_pre,0.0,0.0
project_file_complexity,-1.8044703672615015e-06,0.00024799852251865186
project_sqale_index,-1.4401061583857456e-05,4.6491137158958324e-05
bugfix_commits_pre_30d,-1.5615608946339953e-05,1.006219576248563e-05
project_statements,-5.392590289454713e-05,3.822860839100623e-05
project_reliability_remediation_effort,-7.63776784240111e-05,6.573139815440064e-05
n_critical,-7.780043390577251e-05,5.909240038541887e-05
project_classes,-0.00015671131111436588,9.242882451301497e-05
project_security_remediation_effort,-0.00016864857662002297,0.00014438256881341784
project_duplicated_lines,-0.0001924190035715645,6.208779072816829e-05
linked_jira_issues_pre,-0.0002382247898140122,0.00037239551503768424
project_class_complexity,-0.0003181420062657869,0.00016821853124500467
