feature,perm_importance_mean,perm_importance_std
total_debt_minutes,0.32286119244625444,0.011572421731712032
n_distinct_rules,0.023917484172688575,0.0005000273755594966
n_bug,0.018644557783865267,0.0008006058553840885
max_single_commit_churn_pre,0.005050586165117998,0.0015371615709531487
n_vulnerability,0.0036021123826942116,0.0002839314220067413
days_since_last_change_at_snapshot,0.002525945548226738,0.00046901961881762967
n_issues_open,0.001252533323429228,0.00030206935196110785
project_function_complexity,0.0011671105106196178,0.00031361700723894884
file_age_days_at_snapshot,0.0011061802551843637,0.000542405280664549
avg_change_size_pre,0.0007743261786290256,0.0007163360270915014
n_code_smell,0.0007543506912622844,0.00024198228382801007
debt_per_loc,0.0007217274078743507,0.00021984288639001576
std_change_size_pre,0.0007215266492072824,0.00019327612530430977
issue_density,0.0006994431958370128,0.00029006077417990185
ownership_ratio_pre,0.0006342970083947242,0.0005940342096943398
pseudo_ncloc_at_t,0.000465258210778563,0.00011296711777251943
code_added_pre,0.0004204890280369078,0.0005221217692206469
recent_churn_30d_pre,0.0003782293286329175,0.0002781957767989832
recent_churn_90d_pre,0.00023960546906760528,0.00016182555802528043
project_sqale_debt_ratio,0.00019975487366756805,0.00017189532229667154
project_ncloc,0.0001783740756318153,0.00011583079194552701
project_comment_lines_density,0.00013350451355678138,0.000259107818541527
project_reliability_remediation_effort,6.113101410232247e-05,4.096583782251219e-05
project_file_complexity,4.968777008313996e-05,0.00010859494481469592
project_sqale_index,4.5371458742593516e-05,2.392231380336441e-05
project_class_complexity,4.165742340305201e-05,7.734747113052094e-05
project_comment_lines,3.2021007386950905e-05,3.781570741851743e-05
project_security_remediation_effort,2.7604316712825926e-05,6.487487668726075e-05
project_duplicated_lines_density,2.629938537730414e-05,7.445047940684446e-05
project_statements,1.5960314026730593e-05,5.992570546707948e-06
project_functions,1.2647796021214574e-05,3.212138672026299e-06
project_open_issues,9.034140014962944e-07,2.7009316300334273e-06
project_uncovered_lines,0.0,0.0
project_duplicated_files,0.0,0.0
project_cognitive_complexity,0.0,0.0
project_lines,0.0,0.0
total_effort_minutes,0.0,0.0
project_complexity,0.0,0.0
project_line_coverage,0.0,0.0
project_lines_to_cover,0.0,0.0
project_coverage,0.0,0.0
project_sqale_rating,0.0,0.0
project_security_rating,0.0,0.0
project_duplicated_blocks,-6.926174011545605e-06,2.972381053866933e-05
recent_commits_30d_pre,-8.933760681584246e-06,5.1503891630253535e-05
project_files,-1.05398300176196e-05,2.023334649637417e-05
project_classes,-2.3890281373328825e-05,3.769320827209153e-05
project_reliability_rating,-2.9210386048883487e-05,2.0154510440439096e-05
has_project_context,-3.834490539751378e-05,4.0181334392540086e-05
project_duplicated_lines,-5.5509771426187625e-05,8.328375969464929e-05
total_contributors_pre,-9.244936615471211e-05,0.00018719962561344102
recent_commits_90d_pre,-0.00013812196289779698,8.811075817820141e-05
total_commits_pre,-0.00021621708436181386,0.00026029087010386975
code_removed_pre,-0.00030515317384391947,0.00034379035150769503
code_churn_pre,-0.0007619795206083024,0.00013802337212992337
