feature,perm_importance_mean,perm_importance_std
project_function_complexity,0.14813932461717316,0.03173997707698222
days_since_last_change_at_snapshot,0.06964293402603387,0.02071425864674171
pseudo_ncloc_at_t,0.032672684740022294,0.004873528034520011
max_single_commit_churn_pre,0.021486387577319,0.005658347277263352
project_sqale_debt_ratio,0.011578093830278946,0.004407720906765723
project_file_complexity,0.010976047302630776,0.00375966534440577
recent_churn_30d_pre,0.00853485268158285,0.002048441464352855
total_commits_pre,0.00611231504470513,0.0024908546808840525
file_age_days_at_snapshot,0.005861163334720776,0.005671919283161357
project_duplicated_lines_density,0.005794428737496427,0.0016676140070427886
code_churn_pre,0.005615034658936158,0.0019472792165359507
code_added_pre,0.005186641599334241,0.006037477306692514
project_comment_lines_density,0.004758966116046604,0.002190120733324403
debt_per_loc,0.0044482555719802305,0.004327996803519135
n_issues_open,0.00406435224386128,0.0012899447697885815
ownership_ratio_pre,0.003946669728325758,0.00499178753677411
recent_churn_90d_pre,0.003786650210249998,0.002042271356070231
n_distinct_rules,0.0032764534508246124,0.0005541222613644058
std_change_size_pre,0.003165946698431532,0.0007919149576479359
recent_commits_30d_pre,0.002902596191105089,0.0006117353861354516
recent_commits_90d_pre,0.002601214139123864,0.0003662100646522002
total_contributors_pre,0.002439041892105398,0.003397616929651376
project_class_complexity,0.002413209144792683,0.0009928793103676377
project_security_remediation_effort,0.0019489372694787344,0.0010912148823456764
project_ncloc,0.001886508130139819,0.0008029015218928496
code_removed_pre,0.0017882001750887833,0.0026357112340430274
has_project_context,0.0017035261700083515,0.0003837953411681182
n_major,0.001699220712122851,0.0010152972030119899
issue_density,0.0016274630806987656,0.0015214117251731046
n_info,0.0016253103517560818,0.0006608718131117617
n_code_smell,0.001620287317556346,0.0011848086773790368
n_critical,0.0011961997158399297,0.0003908558547302185
total_debt_minutes,0.0011789778842981491,0.0014760783741543887
n_minor,0.0010971741844746363,0.0006681456293134706
project_comment_lines,0.000985232279453041,0.00034832103361487284
project_duplicated_lines,0.0005281361672815343,0.0002106719003571228
n_bug,0.00036739907289151663,0.0006142285589597009
project_duplicated_blocks,0.0002454110994705605,0.0003578152396722335
n_vulnerability,0.0002231662337291107,0.0005925651182206652
project_reliability_remediation_effort,0.0001750886206749458,0.0002054124085622537
project_duplicated_files,0.00011624736290720694,9.44533248482384e-05
project_complexity,6.0276410396342686e-05,2.551183116094628e-05
project_security_rating,5.95588340821962e-05,1.8238299957152233e-05
project_reliability_rating,5.381822356820276e-05,1.8574002361644363e-05
project_sqale_index,4.1619426226180424e-05,3.5561680544718575e-05
project_functions,1.578667891342089e-05,5.2220627157796505e-05
project_lines,1.0046068399538476e-05,8.306546378962258e-06
project_open_issues,0.0,0.0
project_sqale_rating,0.0,0.0
project_coverage,0.0,0.0
total_effort_minutes,0.0,0.0
project_cognitive_complexity,0.0,0.0
project_uncovered_lines,0.0,0.0
project_lines_to_cover,0.0,0.0
project_line_coverage,0.0,0.0
project_statements,-3.5161239397685226e-05,1.1878001519268009e-05
project_classes,-4.305457885431796e-05,6.533491950285601e-05
n_blocker,-5.8841257767650033e-05,2.29848553768971e-05
project_files,-9.328492085114437e-05,3.962944724088528e-05
max_severity_rank,-0.0005259834383385398,0.00043728961643111703
avg_change_size_pre,-0.007087501255758433,0.0022713365894223157
