feature,perm_importance_mean,perm_importance_std
days_since_last_change_at_snapshot,0.10900833248893378,0.002492039988626789
pseudo_ncloc_at_t,0.08733820494063996,0.0016347099741173417
file_age_days_at_snapshot,0.030931779915689607,0.00311331650214788
total_commits_pre,0.015062989896354018,0.0015755890052974568
n_distinct_rules,0.006788209313010429,0.0012033224522989968
project_duplicated_lines_density,0.00664013863884636,0.0011019840830481962
ownership_ratio_pre,0.006626882721918625,0.001064023621069728
code_churn_pre,0.004903648222666046,0.00089799330180096
project_comment_lines_density,0.0040033563148828225,0.0007294137807239624
avg_change_size_pre,0.0036906971224249796,0.0004995470831330284
std_change_size_pre,0.0036165403306067877,0.001454927205486903
n_minor,0.002636122998252466,0.0007931176086980868
recent_commits_90d_pre,0.0024372495429831665,0.0002732615341136046
issue_density,0.002416047016169487,0.001024968139565726
project_sqale_debt_ratio,0.0023873836984148024,0.00035425466832662096
