project_id,snapshot_id,snapshot_date,window_months,window_end,first_commit,last_commit,total_commits,pre_snapshot_commits,post_snapshot_commits,distinct_files_pre,distinct_authors_pre,eligible,exclusion_reason
org.apache:archiva,t25,2008-07-02 04:11:34+00:00,6,2009-01-02 04:11:34+00:00,2005-11-23 23:54:12+00:00,2021-08-31 13:48:12+00:00,8695,2175,253,2669,20,True,
org.apache:archiva,t50,2012-01-05 23:19:37+00:00,6,2012-07-05 23:19:37+00:00,2005-11-23 23:54:12+00:00,2021-08-31 13:48:12+00:00,8695,4348,1095,3543,24,True,
org.apache:archiva,t75,2013-01-11 21:45:19+00:00,6,2013-07-11 21:45:19+00:00,2005-11-23 23:54:12+00:00,2021-08-31 13:48:12+00:00,8695,6521,379,4017,27,True,
org.apache:batik,t25,2001-04-11 01:26:41+00:00,6,2001-10-11 01:26:41+00:00,2000-10-01 07:37:01+00:00,2021-01-12 10:14:17+00:00,3524,882,553,1913,10,True,
org.apache:batik,t50,2001-12-14 15:08:38+00:00,6,2002-06-14 15:08:38+00:00,2000-10-01 07:37:01+00:00,2021-01-12 10:14:17+00:00,3524,1763,374,2870,11,True,
org.apache:batik,t75,2005-06-24 10:38:47+00:00,6,2005-12-24 10:38:47+00:00,2000-10-01 07:37:01+00:00,2021-01-12 10:14:17+00:00,3524,2643,68,3943,14,True,
org.apache:bcel,t25,2010-05-06 16:43:17+00:00,6,2010-11-06 16:43:17+00:00,2001-10-29 12:42:33+00:00,2021-09-28 14:54:56+00:00,1753,439,27,530,13,False,"pre<500,post<50"
org.apache:bcel,t50,2015-08-16 08:44:59+00:00,6,2016-02-16 08:44:59+00:00,2001-10-29 12:42:33+00:00,2021-09-28 14:54:56+00:00,1753,877,217,584,20,True,
org.apache:bcel,t75,2017-12-09 17:53:34+00:00,6,2018-06-09 17:53:34+00:00,2001-10-29 12:42:33+00:00,2021-09-28 14:54:56+00:00,1753,1315,11,623,24,False,post<50
org.apache:beanutils,t25,2004-07-16 12:33:47+00:00,6,2005-01-16 12:33:47+00:00,2001-03-27 05:25:34+00:00,2021-09-28 14:59:34+00:00,1405,352,14,188,20,False,"pre<500,post<50"
org.apache:beanutils,t50,2009-08-04 23:35:52+00:00,6,2010-02-04 23:35:52+00:00,2001-03-27 05:25:34+00:00,2021-09-28 14:59:34+00:00,1405,703,32,269,32,False,post<50
org.apache:beanutils,t75,2015-12-09 17:32:04+00:00,6,2016-06-09 17:32:04+00:00,2001-03-27 05:25:34+00:00,2021-09-28 14:59:34+00:00,1405,1054,30,441,38,False,post<50
org.apache:cayenne,t25,2009-05-01 22:52:21+00:00,6,2009-11-01 22:52:21+00:00,2007-01-21 11:11:02+00:00,2021-09-13 08:52:50+00:00,6733,1684,177,3136,8,True,
org.apache:cayenne,t50,2012-12-04 17:33:44+00:00,6,2013-06-04 17:33:44+00:00,2007-01-21 11:11:02+00:00,2021-09-13 08:52:50+00:00,6733,3367,135,4258,14,True,
org.apache:cayenne,t75,2016-12-16 07:05:33+00:00,6,2017-06-16 07:05:33+00:00,2007-01-21 11:11:02+00:00,2021-09-13 08:52:50+00:00,6733,5050,388,5797,45,True,
