variant,model,f1_cw,pr_auc_cw,mcc_cw,ce_at_20_cw,f1_smote,pr_auc_smote,mcc_smote,ce_at_20_smote,f1_delta,pr_auc_delta,mcc_delta,ce_at_20_delta
consequence,decision_tree,0.501,0.327,0.416,0.521,0.509,0.326,0.417,0.582,0.008,-0.001,0.0,0.06
consequence,lightgbm,0.606,0.686,0.536,0.724,0.61,0.679,0.546,0.714,0.005,-0.007,0.01,-0.01
consequence,logistic_regression,0.487,0.517,0.398,0.594,0.481,0.486,0.382,0.573,-0.006,-0.031,-0.016,-0.021
consequence,random_forest,0.554,0.703,0.531,0.746,0.635,0.694,0.57,0.735,0.081,-0.009,0.039,-0.01
consequence,svm,0.415,0.514,0.381,0.602,0.485,0.509,0.397,0.593,0.07,-0.004,0.016,-0.009
consequence,xgboost,0.573,0.695,0.536,0.736,0.605,0.675,0.537,0.71,0.032,-0.02,0.001,-0.026
severity,decision_tree,0.641,0.448,0.604,0.674,0.613,0.412,0.574,0.75,-0.028,-0.036,-0.03,0.076
severity,lightgbm,0.716,0.82,0.691,0.963,0.704,0.806,0.674,0.958,-0.012,-0.013,-0.017,-0.005
severity,logistic_regression,0.651,0.758,0.629,0.924,0.647,0.746,0.621,0.908,-0.004,-0.012,-0.008,-0.016
severity,random_forest,0.674,0.807,0.656,0.968,0.674,0.758,0.65,0.956,0.0,-0.049,-0.006,-0.012
severity,svm,0.602,0.722,0.577,0.918,0.616,0.715,0.595,0.899,0.014,-0.007,0.018,-0.018
severity,xgboost,0.711,0.82,0.687,0.968,0.698,0.802,0.67,0.957,-0.013,-0.019,-0.017,-0.011
szz,decision_tree,0.235,0.068,0.227,0.36,0.175,0.045,0.171,0.377,-0.061,-0.023,-0.056,0.017
szz,lightgbm,0.324,0.264,0.319,0.916,0.291,0.238,0.285,0.919,-0.033,-0.026,-0.034,0.003
szz,logistic_regression,0.108,0.213,0.19,0.852,0.127,0.182,0.195,0.835,0.019,-0.031,0.005,-0.017
szz,random_forest,0.098,0.28,0.157,0.943,0.272,0.237,0.265,0.926,0.174,-0.043,0.108,-0.017
szz,svm,0.05,0.184,0.093,0.859,0.128,0.143,0.195,0.805,0.078,-0.042,0.102,-0.054
szz,xgboost,0.186,0.276,0.228,0.919,0.294,0.238,0.287,0.906,0.108,-0.038,0.06,-0.013
