feature,mean_abs_shap,mean_shap,sign
pseudo_ncloc_at_t,0.8563493680892559,-0.16888683332739485,-
days_since_last_change_at_snapshot,0.8142491579141834,0.08581692806233907,+
cocg_closeness,0.30410679360748627,0.008862238766990958,+
file_age_days_at_snapshot,0.25355810854991223,0.00566505721649612,+
cocg_strength_mean,0.18976127499294143,-0.01701736167626227,-
cocg_strength_sum,0.15238886927088038,-0.01952425308144674,-
n_distinct_rules,0.13928132921972416,0.009437981280604978,+
cocg_degree,0.11870757006450076,0.01361855613769193,+
time_since_last_bugfix_days,0.11725918467978122,0.011633320413454322,+
avg_change_size_pre,0.10798345206464396,0.0002769423513292029,+
szz_inducing_pre,0.10071969032141342,-0.011813977022403794,-
project_comment_lines_density,0.10027369475859446,-0.02461238402108545,-
total_commits_pre,0.09485890618417284,0.008921127077030055,+
code_added_pre,0.08866562935549549,-0.01762371443546063,-
cocg_pagerank,0.08300546489039426,-0.0003042733373055224,-
max_single_commit_churn_pre,0.0821910561744762,-0.0149247315833499,-
ownership_ratio_pre,0.08066735651427653,-0.004679675315013567,-
code_churn_pre,0.08037544642982734,0.001813807787467,+
cocg_clustering_coef,0.07665462857402569,0.002304283327199924,+
n_minor,0.07397789113379959,0.004736456831932753,+
cocg_strength_max,0.0736640064131756,-0.005284679097579921,-
std_change_size_pre,0.06854370937514213,0.013585340071799207,+
total_contributors_pre,0.0602536781874374,0.0014022973646590855,+
szz_inducing_pre_365d,0.058631601926607574,0.0037102767221785745,+
project_sqale_debt_ratio,0.05762238571019003,0.005186484666180908,+
recent_churn_90d_pre,0.05505198597579811,-0.01028844260570842,-
code_removed_pre,0.054290558357727114,-0.005626896407992059,-
total_debt_minutes,0.052889020867470445,0.001148149070566633,+
cocg_betweenness,0.052684831013448966,-0.003714116592673205,-
linked_jira_issues_pre,0.051951233860870784,0.006124563189875111,+
project_duplicated_lines_density,0.050603480624334396,-0.009075915216023984,-
recent_commits_90d_pre,0.049620799908337274,0.0002771691477174937,+
recent_churn_30d_pre,0.04404385737973702,0.00015068692847926247,+
debt_per_loc,0.03404569115173269,0.0034236088864283915,+
project_file_complexity,0.032164307030950225,-0.0051452119839241785,-
n_code_smell,0.029823861474847703,-0.0045860741008596296,-
project_security_remediation_effort,0.029336818300040614,-0.0008142911414169907,-
issue_density,0.029173464343477194,-0.011072238807933944,-
cocg_neighbour_count_30d,0.0263829030728157,0.002945742474821749,+
n_major,0.025385564433218252,-0.0071214219136881505,-
cocg_neighbour_count_90d,0.02509803969849537,-0.0035355582291960275,-
bugfix_commits_pre,0.01963010689692362,0.003029424127884525,+
project_function_complexity,0.018952200835364492,0.0023582223537300427,+
project_ncloc,0.0188073585330069,0.0031371542128993614,+
n_issues_open,0.01878115946580066,-0.0005629249819201629,-
n_info,0.014800978008673235,-3.587687503346011e-05,-
project_comment_lines,0.01325772374029643,-0.0012504098920122111,-
project_class_complexity,0.013064177633318933,0.0023202665058550983,+
has_project_context,0.010021730164570902,-9.53127919993372e-06,-
project_reliability_remediation_effort,0.00984812086133579,-0.0020264680231708017,-
project_duplicated_lines,0.008836165342755133,0.0025504964667400114,+
n_bug,0.008512417701229123,-0.0005862113960987762,-
max_severity_rank,0.00836466689890426,0.001978883468793387,+
bugfix_commits_pre_90d,0.00629838379895868,0.0034061933489878448,+
project_sqale_index,0.00610428868093299,-0.0009466125392450539,-
recent_commits_30d_pre,0.0047287943092428775,-0.0004378466338602799,-
project_classes,0.004620089618130842,-0.0007021753122384247,-
project_open_issues,0.004143191873375906,-0.00022425042387832722,-
n_critical,0.002377830194449124,-0.00025886228364650136,-
project_reliability_rating,0.0022870071252917034,-0.00023356319270371288,-
n_blocker,0.0019991504097638855,-0.0019991504097638855,-
bugfix_commits_pre_365d,0.0018541111282159319,0.0006706972295927481,+
project_duplicated_blocks,0.001566740417479628,0.00010619211287367342,+
project_statements,0.0006866102148465248,-0.00032478538964957374,-
bugfix_commits_pre_30d,0.0002996036311562591,1.7383255760788081e-06,+
n_vulnerability,0.0002468753313974179,-0.00013283483341121056,-
project_duplicated_files,0.00017154929124362745,-3.3226451558412424e-05,-
total_effort_minutes,0.0,0.0,+
project_line_coverage,0.0,0.0,+
project_security_rating,0.0,0.0,+
project_lines_to_cover,0.0,0.0,+
project_files,0.0,0.0,+
project_functions,0.0,0.0,+
project_lines,0.0,0.0,+
project_complexity,0.0,0.0,+
project_cognitive_complexity,0.0,0.0,+
project_coverage,0.0,0.0,+
project_uncovered_lines,0.0,0.0,+
project_sqale_rating,0.0,0.0,+
linked_jira_bugs_pre,0.0,0.0,+
bug_density_pre,0.0,0.0,+
