feature,mean_abs_shap,mean_shap,sign
total_debt_minutes,3.204516462153472,0.760715075100509,+
n_distinct_rules,0.440994154008251,0.1326450766860851,+
max_single_commit_churn_pre,0.3062698251416897,-0.010884966926754563,-
n_bug,0.23802988388020957,0.14853241104592624,+
file_age_days_at_snapshot,0.17413650433434652,-0.018940593213497062,-
days_since_last_change_at_snapshot,0.16505253081591179,-0.018367106359159807,-
avg_change_size_pre,0.14991032042715938,-0.0037773316931349857,-
code_added_pre,0.14685726279674102,0.006973085247313649,+
n_issues_open,0.1390828545053437,-0.025844969047472757,-
ownership_ratio_pre,0.11570058772948814,0.012891307778857662,+
code_churn_pre,0.11096892545734395,-0.014401298451367098,-
code_removed_pre,0.1094895791542547,0.022242783204545123,+
n_code_smell,0.1046592441273329,0.03764158982332055,+
std_change_size_pre,0.10006915801297946,-0.003384238987569858,-
project_function_complexity,0.08949347057759281,-0.00545911052393745,-
total_commits_pre,0.08465386660004286,0.015067008077636659,+
pseudo_ncloc_at_t,0.0800463079986683,-0.0021202584741633135,-
project_comment_lines_density,0.07673739392216686,0.006843589905810167,+
project_sqale_debt_ratio,0.07232814587897111,0.008435485448172641,+
n_vulnerability,0.07024686248644176,0.0121816195014835,+
total_contributors_pre,0.06820743608906717,0.0009802731167375639,+
issue_density,0.06776546064152421,0.006255757703626559,+
recent_churn_30d_pre,0.05915558267564923,0.010361024027074324,+
debt_per_loc,0.058647808282579796,-0.020260607936646757,-
recent_churn_90d_pre,0.044059833340098525,0.010149989389429992,+
project_reliability_remediation_effort,0.031319131309635484,0.003774429714086881,+
project_class_complexity,0.026869069991085896,-0.001856835689748782,-
recent_commits_90d_pre,0.017758615878855133,0.006655481845113106,+
project_ncloc,0.01420509803680589,0.0016447884093429342,+
project_duplicated_lines_density,0.011272988474321849,-0.0004966137628056548,-
project_file_complexity,0.011217641128713466,0.0009289900540914662,+
project_comment_lines,0.00981295784350864,-0.00203552782659329,-
project_security_remediation_effort,0.00812726350028848,-0.0003353049752755079,-
recent_commits_30d_pre,0.006023472047988072,6.365611144423907e-05,+
project_duplicated_lines,0.005475102594627297,0.001432056184799243,+
has_project_context,0.0037219681586547772,-0.0003020840160681071,-
project_reliability_rating,0.0026080033505978526,0.0004927889588153567,+
project_classes,0.002184453538973642,-0.0008596397826432395,-
project_sqale_index,0.0015042305639366815,-0.0006413631975681512,-
project_files,0.001441118572612713,-0.0006682646394277559,-
project_duplicated_blocks,0.0013727707700918739,-0.00014151804244099187,-
project_statements,0.001106839778968138,0.0008944472202567188,+
project_open_issues,0.0010641410205370764,2.8482576652647988e-05,+
project_functions,0.0008911382696121413,0.0004598168759331773,+
project_cognitive_complexity,0.0,0.0,+
project_lines,0.0,0.0,+
total_effort_minutes,0.0,0.0,+
project_complexity,0.0,0.0,+
project_security_rating,0.0,0.0,+
project_lines_to_cover,0.0,0.0,+
project_sqale_rating,0.0,0.0,+
project_coverage,0.0,0.0,+
project_line_coverage,0.0,0.0,+
project_uncovered_lines,0.0,0.0,+
project_duplicated_files,0.0,0.0,+
