feature,mean_abs_shap,mean_shap,sign
project_function_complexity,1.263192602461461,0.1844809924814402,+
days_since_last_change_at_snapshot,0.8481968081450431,-0.021881509003296933,-
pseudo_ncloc_at_t,0.45694819106225154,-0.07213745448510685,-
cocg_strength_sum,0.37647477531423285,0.004721885165932064,+
file_age_days_at_snapshot,0.34267998639234826,-0.04340302940552613,-
cocg_pagerank,0.32625922061569834,-0.0478196270413539,-
project_file_complexity,0.32606079908416746,0.060815222294137876,+
cocg_strength_mean,0.32475372926023494,-0.0876246845094703,-
code_added_pre,0.3171962437002219,-0.06367985515934423,-
ownership_ratio_pre,0.28187057440238983,0.02246344323173995,+
max_single_commit_churn_pre,0.27325223217993255,0.010718051390091287,+
cocg_degree,0.2723645616464985,0.033455099496230586,+
avg_change_size_pre,0.23843496841610307,-0.004490043185238432,-
code_removed_pre,0.21333305403381367,0.01596966849942788,+
code_churn_pre,0.21090155525618032,-0.055747793759385725,-
time_since_last_bugfix_days,0.18452914349191246,-0.051365187712689206,-
cocg_closeness,0.18290010225072945,0.0041039468825873684,+
cocg_clustering_coef,0.16701670375195382,0.05690394093102042,+
project_duplicated_lines,0.15090347784653532,-0.0045452916057092336,-
std_change_size_pre,0.13324392476413016,-0.0258928528078266,-
linked_jira_issues_pre,0.13182943451160573,-0.009854897373627727,-
project_sqale_debt_ratio,0.11955539252400163,0.006266355689104919,+
recent_churn_90d_pre,0.1184279082974638,-0.002043782428483515,-
debt_per_loc,0.10867120851984294,0.026073161055031466,+
issue_density,0.10863973350488784,0.005621983433054468,+
project_duplicated_lines_density,0.10789436680019872,0.017941715710917988,+
total_contributors_pre,0.104644900057531,0.028354741943290348,+
cocg_neighbour_count_30d,0.1030014106862732,-0.008029918043959845,-
project_class_complexity,0.1024176430627673,0.012415650932333763,+
cocg_strength_max,0.0949581436386047,0.015393612017405172,+
cocg_betweenness,0.08995733977994262,-0.004002899755017184,-
total_commits_pre,0.08936613023102227,0.02817414146636897,+
cocg_neighbour_count_90d,0.0873189619525612,-0.002411425062239727,-
total_debt_minutes,0.07272069399413368,0.015319162032841721,+
n_major,0.060154065967767324,-0.005379373322232828,-
project_security_remediation_effort,0.05368354687527277,-0.008768513731338447,-
n_minor,0.05250978350805971,0.010536549849675293,+
bugfix_commits_pre,0.05172455710366488,0.005322292645237233,+
n_issues_open,0.051288633598272,-0.0034083881453057592,-
project_comment_lines_density,0.04264181781556632,-0.004189176952605216,-
has_project_context,0.038708285080690186,0.024612559315062555,+
recent_churn_30d_pre,0.037170984083726884,0.006732929388846498,+
n_code_smell,0.03575315352450112,-0.0034428289807545004,-
project_ncloc,0.0354935415656026,-0.0011234705573241032,-
project_statements,0.02689437669174455,0.007447522384913836,+
n_info,0.026852820065388014,0.004493424800791251,+
project_open_issues,0.026545116467543803,0.005976080170803326,+
recent_commits_30d_pre,0.02593932181407826,-0.0001426974044685706,-
n_distinct_rules,0.02437690178045821,-0.0018030873398794162,-
project_comment_lines,0.0193813135173634,-0.008166210946400791,-
n_critical,0.01758798416836904,0.001383195160118039,+
recent_commits_90d_pre,0.015809850309126,0.0032770483564305976,+
project_reliability_remediation_effort,0.015006312239505269,0.00015820695839388726,+
project_duplicated_blocks,0.013574967446057651,-0.002195673411394179,-
n_vulnerability,0.013167686479213812,0.0014585074970183698,+
bugfix_commits_pre_365d,0.010100368158614134,-0.0016236459173599748,-
project_classes,0.007865015469869122,0.002164169948876866,+
n_bug,0.006233630879619226,-0.001582662628075506,-
max_severity_rank,0.00463739528088088,0.0006005141814911694,+
project_sqale_index,0.003502521880223572,-0.00044336328130599364,-
project_files,0.0027993535948863156,0.0008554369890683994,+
project_functions,0.0027783430324364727,-0.001285401999976923,-
n_blocker,0.0022591348280092253,0.002176044181666107,+
bugfix_commits_pre_90d,0.001023760183345134,5.540918825400951e-05,+
bugfix_commits_pre_30d,0.0009100583771568594,0.00019622166615378521,+
project_reliability_rating,0.0003339409100048722,-0.0003339409100048722,-
total_effort_minutes,0.0,0.0,+
project_sqale_rating,0.0,0.0,+
project_security_rating,0.0,0.0,+
project_lines_to_cover,0.0,0.0,+
project_cognitive_complexity,0.0,0.0,+
project_complexity,0.0,0.0,+
project_lines,0.0,0.0,+
project_uncovered_lines,0.0,0.0,+
project_duplicated_files,0.0,0.0,+
project_line_coverage,0.0,0.0,+
project_coverage,0.0,0.0,+
linked_jira_bugs_pre,0.0,0.0,+
bug_density_pre,0.0,0.0,+
