feature,mean_abs_shap,mean_shap,sign
pseudo_ncloc_at_t,0.9453431865399866,-0.19289526071254698,-
days_since_last_change_at_snapshot,0.9394796694385271,0.09907508729958292,+
file_age_days_at_snapshot,0.34542149224446556,0.009260013467957271,+
total_commits_pre,0.20020331576074954,0.021279743102968145,+
avg_change_size_pre,0.16862265607209684,-0.022910550239017037,-
project_duplicated_lines_density,0.15165950693332364,0.0007598490962708767,+
n_distinct_rules,0.13980790299560972,0.017420571191931893,+
project_comment_lines_density,0.13183416873264023,-0.03640722212693121,-
ownership_ratio_pre,0.12400133228004323,-0.028960445369875517,-
code_added_pre,0.11980355903146366,-0.025811668402163136,-
code_churn_pre,0.10915473422082002,-0.008800823035270411,-
max_single_commit_churn_pre,0.10864725189523727,-0.03734130228272228,-
std_change_size_pre,0.09712527054546073,0.017990844326735558,+
code_removed_pre,0.0930793254263379,-0.015904844912563665,-
total_contributors_pre,0.08943503122433226,-0.0008168242277703283,-
