feature,mean_abs_shap,mean_shap,sign
total_debt_minutes,3.244114983348373,0.7421474800238869,+
n_distinct_rules,0.3636001398504234,0.122617917993139,+
max_single_commit_churn_pre,0.2746627717651521,0.008148246213503721,+
n_bug,0.25717258513993574,0.14992901718672705,+
avg_change_size_pre,0.12263122220387745,-0.01378618072684435,-
time_since_last_bugfix_days,0.1151647623080791,0.0068363532332612435,+
total_contributors_pre,0.11254848746789166,0.013807029980672961,+
file_age_days_at_snapshot,0.10385671540830103,-0.01563229220619419,-
project_function_complexity,0.10342146202545348,0.0033035011653989215,+
days_since_last_change_at_snapshot,0.09882627997296699,-0.013420721430670805,-
code_added_pre,0.09723643131840522,-0.00424111348171389,-
ownership_ratio_pre,0.09504354879883453,0.005410944375965269,+
std_change_size_pre,0.08630159642405809,-0.0053750889464417315,-
cocg_betweenness,0.08485303754963777,-0.003397843465874155,-
cocg_pagerank,0.08258215867934812,0.004209335574515121,+
