feature,mean_abs_shap,mean_shap,sign
project_function_complexity,1.263192602461461,0.1844809924814402,+
days_since_last_change_at_snapshot,0.8481968081450431,-0.021881509003296933,-
pseudo_ncloc_at_t,0.45694819106225154,-0.07213745448510685,-
cocg_strength_sum,0.37647477531423285,0.004721885165932064,+
file_age_days_at_snapshot,0.34267998639234826,-0.04340302940552613,-
cocg_pagerank,0.32625922061569834,-0.0478196270413539,-
project_file_complexity,0.32606079908416746,0.060815222294137876,+
cocg_strength_mean,0.32475372926023494,-0.0876246845094703,-
code_added_pre,0.3171962437002219,-0.06367985515934423,-
ownership_ratio_pre,0.28187057440238983,0.02246344323173995,+
max_single_commit_churn_pre,0.27325223217993255,0.010718051390091287,+
cocg_degree,0.2723645616464985,0.033455099496230586,+
avg_change_size_pre,0.23843496841610307,-0.004490043185238432,-
code_removed_pre,0.21333305403381367,0.01596966849942788,+
code_churn_pre,0.21090155525618032,-0.055747793759385725,-
