project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:archiva,logistic_regression,2011-07-28 05:49:37+00:00,2012-10-19 21:13:37+00:00,1465,1671,292,179,0.18835978835978837,0.994413407821229,0.3167259786476868,0.8888148336753185,0.4304507591407167,0.29969118297788566,0.6759776536312849
org.apache:batik,logistic_regression,2001-10-04 14:48:40+00:00,2003-08-14 09:32:29+00:00,1638,2025,328,143,0.005076142131979695,0.02097902097902098,0.008174386920980926,0.4650163863766414,0.06840943125929794,-0.16424054110204142,0.013986013986013986
org.apache:bcel,logistic_regression,2014-12-19 00:05:30+00:00,2016-06-25 21:47:44+00:00,445,483,89,8,0.016913319238900635,1.0,0.033264033264033266,0.5252631578947369,0.017429193899782137,0.018869813955460654,0.0
org.apache:cayenne,logistic_regression,2011-05-15 11:23:02+00:00,2016-08-18 07:41:01+00:00,3406,4631,436,914,0.30324074074074076,0.5733041575492341,0.39666919000757,0.675020413041034,0.3069999566512938,0.205233304232874,0.3150984682713348
org.apache:cocoon,logistic_regression,2004-07-12 13:36:43+00:00,2006-09-16 23:47:26+00:00,2331,3499,459,696,0.7989690721649485,0.22270114942528735,0.34831460674157305,0.6854417065459423,0.4379092970283168,0.36419504750339854,0.41235632183908044
org.apache:codec,logistic_regression,2011-08-06 02:19:20+00:00,2016-05-16 20:53:33+00:00,100,136,19,27,0.625,0.18518518518518517,0.2857142857142857,0.7611281005776418,0.4899551666759916,0.26728394407784334,0.48148148148148145
org.apache:commons-jelly,logistic_regression,2003-01-16 09:17:17+00:00,2004-09-08 04:19:22+00:00,401,487,80,94,0.5714285714285714,0.0425531914893617,0.07920792079207921,0.6594661902441665,0.3605044226333918,0.11578701811767961,0.3723404255319149
org.apache:commons-jexl,logistic_regression,2009-08-02 21:58:04+00:00,2015-12-09 10:41:16+00:00,144,222,29,31,0.0,0.0,0.0,0.6868772166863706,0.23905656420088303,0.0,0.2903225806451613
org.apache:configuration,logistic_regression,2012-07-14 20:35:03+00:00,2014-08-24 17:23:38+00:00,256,515,51,103,0.7727272727272727,0.1650485436893204,0.272,0.6024366104251109,0.41962646505384316,0.30246543640156925,0.4077669902912621
org.apache:daemon,logistic_regression,2010-03-19 23:03:51+00:00,2017-07-08 02:35:18+00:00,12,18,3,4,0.0,0.0,0.0,0.23214285714285715,0.1830794817927171,-0.1889822365046136,0.0
org.apache:dbcp,logistic_regression,2011-07-19 20:49:18+00:00,2018-06-10 19:17:32+00:00,104,125,21,25,0.45,0.36,0.4,0.756,0.4338044846021141,0.2727723627949905,0.44
org.apache:digester,logistic_regression,2011-01-27 17:15:45+00:00,2011-05-30 13:12:04+00:00,233,346,47,69,0.21656050955414013,0.9855072463768116,0.35509138381201044,0.5659237168419401,0.22318331110377068,0.1343616825106278,0.18840579710144928
org.apache:felix,logistic_regression,2010-06-24 11:15:42+00:00,2014-05-06 15:23:03+00:00,3467,5078,694,302,0.14285714285714285,0.23841059602649006,0.17866004962779156,0.6696999068188625,0.16173975778699742,0.11703391058496027,0.33774834437086093
org.apache:hive,logistic_regression,2015-04-08 00:21:11+00:00,2017-10-16 03:03:42+00:00,4715,6585,939,1224,0.4296875,0.40441176470588236,0.4166666666666667,0.7658159327898292,0.424441947438241,0.28860308629826925,0.4583333333333333
org.apache:httpclient,logistic_regression,2011-01-07 21:01:16+00:00,2014-08-16 11:06:55+00:00,568,901,89,152,0.30434782608695654,0.5526315789473685,0.3925233644859813,0.7019798327594687,0.3920052651505939,0.2407048489453148,0.42105263157894735
org.apache:httpcore,logistic_regression,2010-03-22 22:02:09+00:00,2016-07-16 11:27:17+00:00,628,998,121,200,0.7391304347826086,0.17,0.2764227642276423,0.7635401002506266,0.46501057124775186,0.2958321734736852,0.435
org.apache:net,logistic_regression,2011-02-15 23:34:53+00:00,2014-04-13 18:38:49+00:00,225,274,45,24,0.10144927536231885,0.2916666666666667,0.15053763440860216,0.5666666666666667,0.15073400080163654,0.028439646260794847,0.16666666666666666
org.apache:thrift,logistic_regression,2011-08-23 20:27:19+00:00,2015-11-08 14:43:55+00:00,165,197,22,37,0.375,0.16216216216216217,0.22641509433962265,0.706081081081081,0.33216364743194793,0.14249245845566297,0.35135135135135137
org.apache:vfs,logistic_regression,2012-02-15 21:08:53+00:00,2019-02-01 02:24:06+00:00,391,469,76,90,0.5125,0.45555555555555555,0.4823529411764706,0.727792436235708,0.4919970739950854,0.36920610273999255,0.4888888888888889
org.apache:zookeeper,logistic_regression,2012-03-30 22:29:08+00:00,2018-05-30 00:23:11+00:00,676,908,49,149,0.532258064516129,0.2214765100671141,0.3127962085308057,0.7916987204994209,0.44715061465335554,0.269104181038437,0.46308724832214765
org.apache:archiva,random_forest,2011-07-28 05:49:37+00:00,2012-10-19 21:13:37+00:00,1465,1671,292,179,0.3197969543147208,0.35195530726256985,0.3351063829787234,0.8544715203618554,0.33810774345913885,0.2514011707100196,0.5810055865921788
org.apache:batik,random_forest,2001-10-04 14:48:40+00:00,2003-08-14 09:32:29+00:00,1638,2025,328,143,0.6590909090909091,0.20279720279720279,0.31016042780748665,0.8561788901852664,0.39640557996835013,0.3423405173728639,0.6993006993006993
