variant,model,metric,mean,ci_low,ci_high,n
consequence,decision_tree,precision,0.5080949304233701,0.4974671656165379,0.5182043830523145,10
consequence,decision_tree,recall,0.49474800339303143,0.4773845849138138,0.5129871480930203,10
consequence,decision_tree,f1,0.5010644196232608,0.48865997438383735,0.5145366021374493,10
consequence,decision_tree,roc_auc,0.7055620540805654,0.6974557946189018,0.7145825830257775,10
consequence,decision_tree,pr_auc,0.3269262298735594,0.3171778788683457,0.33774460427834907,10
consequence,decision_tree,mcc,0.41621735903862456,0.4024564313448033,0.4310959101740649,10
consequence,decision_tree,ce_at_20,0.5213552920087707,0.5049519053792353,0.5397118524031306,10
consequence,lightgbm,precision,0.5086328232951237,0.49820062089965544,0.5187069239149088,10
consequence,lightgbm,recall,0.748926073526352,0.7380315615947248,0.7591812310942527,10
consequence,lightgbm,f1,0.6056280201705181,0.597084375353565,0.6139915268760868,10
consequence,lightgbm,roc_auc,0.9086727582644463,0.9055430525032654,0.911438167513696,10
consequence,lightgbm,pr_auc,0.6857412490878032,0.6743435749693829,0.6971610726072901,10
consequence,lightgbm,mcc,0.5361033621253848,0.5259117569660311,0.5460875052860554,10
consequence,lightgbm,ce_at_20,0.7240217025975897,0.712330148365103,0.7341624653894784,10
consequence,logistic_regression,precision,0.363465309791311,0.3578640880211586,0.36848259220389895,10
consequence,logistic_regression,recall,0.7390254637409772,0.7254402938493302,0.7531230494070198,10
consequence,logistic_regression,f1,0.4871637193797368,0.48065216654921666,0.4931105488193869,10
consequence,logistic_regression,roc_auc,0.8352182543515176,0.8292748048309387,0.8417910374552684,10
consequence,logistic_regression,pr_auc,0.5166074041883444,0.5012574108692552,0.5324155428424604,10
consequence,logistic_regression,mcc,0.3983102436529554,0.3895164578489029,0.40681667850266406,10
consequence,logistic_regression,ce_at_20,0.5938293241145309,0.579796258062451,0.6091739888926233,10
consequence,random_forest,precision,0.7835250418426636,0.7686052608270184,0.7989084851017992,10
