variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
consequence,logistic_regression,1,21519,2392,354,0.3940972222222222,0.6412429378531074,0.4881720430107527,0.8354374234183286,0.5033823659291933,0.39032762568221263,0.5790960451977402,smote
consequence,logistic_regression,2,21520,2391,354,0.39057239057239057,0.655367231638418,0.48945147679324896,0.8151118155923328,0.4791385389643853,0.392594427112384,0.5847457627118644,smote
consequence,logistic_regression,3,21520,2391,354,0.4050179211469534,0.6384180790960452,0.4956140350877193,0.8170345778243734,0.47046109752478193,0.39919804741324966,0.5706214689265536,smote
consequence,logistic_regression,4,21520,2391,353,0.3855421686746988,0.6345609065155807,0.4796573875802998,0.812793468017025,0.48258614087426727,0.3799643412509039,0.5750708215297451,smote
consequence,logistic_regression,5,21520,2391,353,0.3758741258741259,0.6090651558073654,0.4648648648648649,0.8076934838632552,0.4322204503784673,0.36079303207523883,0.546742209631728,smote
consequence,logistic_regression,6,21520,2391,353,0.3847402597402597,0.6713881019830028,0.4891640866873065,0.8333129463702403,0.5294174109618504,0.39374847710015937,0.5779036827195467,smote
consequence,logistic_regression,7,21520,2391,353,0.3815126050420168,0.6430594900849859,0.47890295358649787,0.8253300602990767,0.48553660005668003,0.3794726030030432,0.5892351274787535,smote
consequence,logistic_regression,8,21520,2391,353,0.38275862068965516,0.6288951841359773,0.4758842443729904,0.8169982791549789,0.49087142685534185,0.3750917599460738,0.56657223796034,smote
consequence,logistic_regression,9,21520,2391,353,0.37954939341421146,0.6203966005665722,0.47096774193548385,0.8064118852288112,0.4662313448324556,0.36870872036096347,0.5580736543909348,smote
consequence,logistic_regression,10,21520,2391,353,0.3808724832214765,0.6430594900849859,0.47839831401475236,0.8124869685605229,0.5169033617419869,0.37885734511501623,0.5835694050991501,smote
consequence,decision_tree,1,21519,2392,354,0.4451754385964912,0.5734463276836158,0.5012345679012346,0.7241992537272057,0.3182734954450015,0.4061719115381903,0.5819209039548022,smote
consequence,decision_tree,2,21520,2391,354,0.4555084745762712,0.6073446327683616,0.5205811138014528,0.7406642370385162,0.3358471274179085,0.4293337754698291,0.6073446327683616,smote
consequence,decision_tree,3,21520,2391,354,0.4838709677419355,0.5932203389830508,0.5329949238578681,0.7412279606932761,0.3472679464339002,0.44527976254278323,0.5988700564971752,smote
consequence,decision_tree,4,21520,2391,353,0.4375,0.5155807365439093,0.47334200260078024,0.7000996644491211,0.2963897758724642,0.37501278465424914,0.5325779036827195,smote
consequence,decision_tree,5,21520,2391,353,0.45893719806763283,0.5382436260623229,0.4954367666232073,0.7138490493651778,0.3142745021509263,0.40157475733074,0.5524079320113314,smote
consequence,decision_tree,6,21520,2391,353,0.46637744034707157,0.6090651558073654,0.5282555282555282,0.7449681268365643,0.34197364534852825,0.4391361077775398,0.6118980169971672,smote
consequence,decision_tree,7,21520,2391,353,0.44539614561027835,0.5892351274787535,0.5073170731707317,0.7310700097579419,0.3246445051818981,0.4135339697860749,0.5920679886685553,smote
consequence,decision_tree,8,21520,2391,353,0.46136363636363636,0.5750708215297451,0.5119798234552333,0.7289731642698085,0.3280520226021415,0.41999030869015436,0.5779036827195467,smote
consequence,decision_tree,9,21520,2391,353,0.47191011235955055,0.5949008498583569,0.5263157894736842,0.7396617246814768,0.3403972113530645,0.43712907968076703,0.603399433427762,smote
consequence,decision_tree,10,21520,2391,353,0.45093457943925236,0.546742209631728,0.4942381562099872,0.7154357574359131,0.3132121218555848,0.3992278709696176,0.5580736543909348,smote
consequence,random_forest,1,21519,2392,354,0.626984126984127,0.6694915254237288,0.6475409836065574,0.9183043362552186,0.7059993346467568,0.5843873518191172,0.751412429378531,smote
consequence,random_forest,2,21520,2391,354,0.5707656612529002,0.6949152542372882,0.6267515923566879,0.9107811975626059,0.697578224483789,0.5581308376707593,0.7457627118644068,smote
consequence,random_forest,3,21520,2391,354,0.6220472440944882,0.6694915254237288,0.6448979591836734,0.9109157146462754,0.691029280074702,0.5810559268945553,0.7457627118644068,smote
consequence,random_forest,4,21520,2391,353,0.5685785536159601,0.6458923512747875,0.6047745358090185,0.914693764647338,0.6914190913241935,0.5326692300432107,0.7110481586402266,smote
consequence,random_forest,5,21520,2391,353,0.6032608695652174,0.6288951841359773,0.6158113730929264,0.9055939973367212,0.6587280550727057,0.5478007170540908,0.71671388101983,smote
consequence,random_forest,6,21520,2391,353,0.6336898395721925,0.6713881019830028,0.6519944979367263,0.9243842905475846,0.7218497434682632,0.5900060911752122,0.7507082152974505,smote
consequence,random_forest,7,21520,2391,353,0.6139896373056994,0.6713881019830028,0.6414073071718539,0.9186768675616545,0.6932178174358524,0.5768209967341399,0.7563739376770539,smote
consequence,random_forest,8,21520,2391,353,0.6177285318559557,0.6317280453257791,0.6246498599439776,0.9074663545607953,0.6776908150776106,0.5588280143788256,0.6940509915014165,smote
consequence,random_forest,9,21520,2391,353,0.6240601503759399,0.7053824362606232,0.6622340425531915,0.9204769437347619,0.7213116605684847,0.6010696457894192,0.7535410764872521,smote
consequence,random_forest,10,21520,2391,353,0.6335227272727273,0.6317280453257791,0.6326241134751773,0.9078597302804784,0.6837214036855427,0.5690979477490956,0.7280453257790368,smote
consequence,xgboost,1,21519,2392,354,0.6023391812865497,0.5819209039548022,0.5919540229885057,0.9099995564500479,0.6865350505782716,0.5226129437770155,0.7146892655367232,smote
consequence,xgboost,2,21520,2391,354,0.5936675461741425,0.635593220338983,0.6139154160982264,0.9026976915759023,0.6950685545044077,0.5445593954761836,0.7203389830508474,smote
consequence,xgboost,3,21520,2391,354,0.6194690265486725,0.5932203389830508,0.6060606060606061,0.9078904670377674,0.6740864380277493,0.5395055431816794,0.7175141242937854,smote
consequence,xgboost,4,21520,2391,353,0.569060773480663,0.5835694050991501,0.5762237762237762,0.901301614925481,0.6656529506367401,0.5017905240549375,0.6827195467422096,smote
consequence,xgboost,5,21520,2391,353,0.5988372093023255,0.5835694050991501,0.5911047345767575,0.8960174530937679,0.6335060534511008,0.5214104763998776,0.6968838526912181,smote
