model,fold,n_train,n_test,n_pos_test,f1,roc_auc,pr_auc,ce_at_20
logistic_regression,1,11204,1245,212,0.734375,0.9590220825951159,0.8236046603833943,0.7924528301886793
logistic_regression,2,11204,1245,212,0.7419962335216572,0.9692871102668541,0.8756142974900155,0.8537735849056604
logistic_regression,3,11204,1245,212,0.7333333333333333,0.9660359093316773,0.8529505861984664,0.8537735849056604
logistic_regression,4,11204,1245,213,0.7445544554455445,0.967090657640936,0.8948216338879569,0.863849765258216
logistic_regression,5,11204,1245,213,0.7020872865275142,0.9599483204134368,0.8532798039720657,0.8075117370892019
logistic_regression,6,11204,1245,213,0.746615087040619,0.9647750846162245,0.864078851957677,0.8497652582159625
logistic_regression,7,11204,1245,213,0.722753346080306,0.9614768715653093,0.8195518308265798,0.8215962441314554
logistic_regression,8,11204,1245,213,0.7611650485436893,0.9665401972558867,0.8667935430562602,0.8309859154929577
logistic_regression,9,11204,1245,213,0.7265625,0.9581331659205882,0.8335173620248872,0.8028169014084507
logistic_regression,10,11205,1244,212,0.7128712871287128,0.9472036346350738,0.8092521392000075,0.7971698113207547
random_forest,1,11204,1245,212,0.8267326732673267,0.9851915103472209,0.9324181561741679,0.9339622641509434
random_forest,2,11204,1245,212,0.8915094339622641,0.9903194578896417,0.9561801107364946,0.9528301886792453
random_forest,3,11204,1245,212,0.8708133971291866,0.9875157537123965,0.9412298055016463,0.9433962264150944
random_forest,4,11204,1245,213,0.8706467661691543,0.9869345270589949,0.9520415022183252,0.9248826291079812
random_forest,5,11204,1245,213,0.8530805687203792,0.9874394948502384,0.9417307274500755,0.9248826291079812
random_forest,6,11204,1245,213,0.8883610451306413,0.9891545656367143,0.9505312782359262,0.9483568075117371
random_forest,7,11204,1245,213,0.8384074941451991,0.9821464315609418,0.9282340620801796,0.8967136150234741
random_forest,8,11204,1245,213,0.8592233009708737,0.9880263493103322,0.9459894184416753,0.9389671361502347
random_forest,9,11204,1245,213,0.8530120481927711,0.9843278014339266,0.9333581203539678,0.9107981220657277
random_forest,10,11205,1244,212,0.8260869565217391,0.9808852566915314,0.9253146084134145,0.8820754716981132
xgboost,1,11204,1245,212,0.8557919621749409,0.9861549982648086,0.9378124870874287,0.9245283018867925
xgboost,2,11204,1245,212,0.8883826879271071,0.9917395751520576,0.9632511834654426,0.9481132075471698
xgboost,3,11204,1245,212,0.8767123287671232,0.9893788014392957,0.9518282590204193,0.9386792452830188
xgboost,4,11204,1245,213,0.8888888888888888,0.9872302289187321,0.9515874038777197,0.9436619718309859
xgboost,5,11204,1245,213,0.8681818181818182,0.9876396622629835,0.9455904857169825,0.9342723004694836
xgboost,6,11204,1245,213,0.8939051918735892,0.9909424245732795,0.957567911127857,0.9530516431924883
xgboost,7,11204,1245,213,0.8545454545454545,0.9839820577210031,0.9338137640723512,0.9061032863849765
xgboost,8,11204,1245,213,0.8578088578088578,0.9879217163445791,0.9466817799113392,0.9154929577464789
xgboost,9,11204,1245,213,0.8454545454545455,0.9852149070131383,0.9382659071220301,0.9107981220657277
xgboost,10,11205,1244,212,0.8337236533957846,0.9816211423138803,0.9264780323055386,0.8820754716981132
lightgbm,1,11204,1245,212,0.8656036446469249,0.9867257849458438,0.9408383134040522,0.9292452830188679
lightgbm,2,11204,1245,212,0.8873873873873874,0.9914153683172295,0.9612054766579978,0.9528301886792453
lightgbm,3,11204,1245,212,0.8590308370044053,0.989803466729986,0.9556017254975865,0.9386792452830188
lightgbm,4,11204,1245,213,0.8899082568807339,0.9865796848273102,0.9512998068029307,0.9436619718309859
lightgbm,5,11204,1245,213,0.8691796008869179,0.9876442115223641,0.9442394132043039,0.9389671361502347
lightgbm,6,11204,1245,213,0.8913525498891353,0.9903237252975216,0.9586345616790461,0.9530516431924883
lightgbm,7,11204,1245,213,0.8325991189427313,0.9836135677111765,0.9336881699254046,0.9061032863849765
lightgbm,8,11204,1245,213,0.849438202247191,0.986920879280853,0.9425159646169867,0.9248826291079812
lightgbm,9,11204,1245,213,0.851528384279476,0.9853013429413692,0.9383979120227927,0.9248826291079812
lightgbm,10,11205,1244,212,0.8198198198198198,0.9808486909463214,0.9243648531200612,0.8915094339622641
