variant,model,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,mcc_ci_low,mcc_ci_high,ce_at_20_ci_low,ce_at_20_ci_high
consequence,decision_tree,0.5080949304233701,0.4947480033930315,0.5010644196232608,0.7055620540805654,0.32692622987355946,0.41621735903862456,0.5213552920087706,0.017735833601261315,0.030300673330456277,0.02192815016100019,0.014613668515073942,0.01773893943707807,0.024155477793570686,0.029467349479370693,0.4974671656165379,0.5182043830523145,0.4773845849138138,0.5129871480930203,0.48865997438383735,0.5145366021374493,0.6974557946189018,0.7145825830257775,0.3171778788683457,0.33774460427834907,0.4024564313448033,0.4310959101740649,0.5049519053792353,0.5397118524031306
consequence,lightgbm,0.5086328232951237,0.748926073526352,0.6056280201705181,0.9086727582644463,0.6857412490878032,0.5361033621253848,0.7240217025975897,0.017338487472702672,0.017993636467009175,0.014511405922068888,0.005081400903763439,0.01963351806500929,0.01741303366100843,0.018508489129200813,0.49820062089965544,0.5187069239149088,0.7380315615947248,0.7591812310942527,0.597084375353565,0.6139915268760868,0.9055430525032654,0.911438167513696,0.6743435749693829,0.6971610726072901,0.5259117569660311,0.5460875052860554,0.712330148365103,0.7341624653894784
consequence,logistic_regression,0.363465309791311,0.7390254637409772,0.48716371937973674,0.8352182543515179,0.5166074041883443,0.39831024365295536,0.5938293241145308,0.008918582013803905,0.023866423659938928,0.010695724095268632,0.010747750073992113,0.02636762557444498,0.015009538339649976,0.025265142976219294,0.3578640880211586,0.36848259220389895,0.7254402938493302,0.7531230494070198,0.48065216654921666,0.4931105488193869,0.8292748048309387,0.8417910374552684,0.5012574108692552,0.5324155428424604,0.3895164578489029,0.40681667850266406,0.579796258062451,0.6091739888926233
consequence,random_forest,0.7835250418426635,0.4288079576191162,0.5538889605839774,0.9151826626157475,0.703209404150625,0.5312347920408718,0.7455282405851379,0.0257365247399452,0.026730031131002127,0.02616680122474879,0.005782184016243393,0.01856563363856963,0.025652897912558766,0.0202270806035266,0.7686052608270184,0.7989084851017992,0.41193634864998957,0.4424361405867383,0.5372865136797246,0.5676552305037982,0.9118510966008372,0.9185646893948205,0.6922364991696839,0.7140075703520811,0.515435240800229,0.5452116990875622,0.7334277620396602,0.7568597653686719
consequence,svm,0.6325239252339188,0.3093740497111122,0.41522948290769185,0.8407441884552845,0.5135064605656334,0.3811577507051133,0.6023223059810182,0.03299669203145367,0.02454474592229699,0.02739803848388891,0.01058876829598392,0.019617077304120666,0.02886486052995307,0.024843145183362936,0.6131268165536635,0.6510365077215648,0.29520974376210374,0.32354475760631235,0.39893577311951894,0.4311043288344663,0.8346183880687936,0.846882395791978,0.5020943972735117,0.5248096260533819,0.36403053138474306,0.39757925063291144,0.5883841887933932,0.6173244666378579
consequence,xgboost,0.742298602872523,0.46730366031273507,0.5731021628765142,0.9110681592747465,0.6951999557455426,0.5362949806636094,0.7356276307997631,0.028193405447348635,0.02214172469271867,0.018585517937642914,0.005667925380352035,0.017446306562892002,0.02005194793166721,0.015718703350939618,0.7264171047952349,0.7590995463364254,0.45488378467053986,0.4804717234039148,0.5621696415220518,0.5841743250648087,0.907459601198901,0.913946525840084,0.6846842514314839,0.7054055560295197,0.5246522270237901,0.5480665881035277,0.725359709351643,0.744057393447608
severity,decision_tree,0.6562052777026781,0.6273291925465838,0.6411080407473531,0.7960538686437652,0.4482416752362348,0.6041181659879052,0.6741671372106155,0.038567063394249555,0.030618770366998973,0.03116468325337058,0.016506753107567516,0.03748153961377534,0.03468578622920034,0.033988743800573235,0.6334041818803234,0.6779982576434531,0.6097743741765481,0.6458652362130622,0.6228626870581662,0.6590808571896155,0.7866289139160495,0.8056486038205105,0.4266695545985038,0.47073674029868817,0.5838958834473814,0.6240253425211231,0.6533195934500283,0.6930911443628835
severity,lightgbm,0.6198217057381612,0.8485827216261999,0.7162056266550493,0.9755555391965585,0.8196399113904855,0.6914243183009509,0.9626858648597778,0.022221614681559095,0.0232383088612272,0.02000665577396846,0.0034468335985833438,0.017954331171364107,0.02230920733827138,0.01577097163577619,0.6059323933889412,0.6319554706983664,0.835049642386599,0.8620967908902691,0.7031626923074059,0.7264840192591451,0.9733221489674038,0.9773331475734341,0.8076072208044683,0.8282706937942699,0.6773338274876638,0.7027740321886257,0.9535757575757574,0.9718106531150008
severity,logistic_regression,0.5204371869838644,0.8689535102578582,0.6508362676909383,0.9617743347947931,0.7575429219979621,0.629160635714247,0.9240617353660833,0.02055256606054192,0.023636774749861658,0.020644267703615025,0.005512722163143762,0.01739581499559624,0.023085888024293125,0.022133409608856975,0.5078887671504305,0.5319913868210957,0.855019715791455,0.8825145868624128,0.6382108976715719,0.6625849113423035,0.9584764804407235,0.9649429878002552,0.7466701710824116,0.7672867474155333,0.615043535745425,0.6419252484991564,0.9105684170901561,0.9362544701675137
severity,random_forest,0.8064076644094704,0.5800414078674948,0.67425457729831,0.9743056369775539,0.8066578684772858,0.6563834821420133,0.968317334839074,0.024240205545993408,0.02210149276443098,0.01343139378495664,0.0044186420740473615,0.020419171227656963,0.013406411432509823,0.01967777373062722,0.7918472633034489,0.8208059039648612,0.5677165913796349,0.5937544701675136,0.6661945902826306,0.6820662691612709,0.9713592398232527,0.9764884941557865,0.79301044394727,0.8169288768084431,0.6480536413641875,0.6638373980011385,0.9552512704686617,0.9778920101637493
